position, player, projection, salary
C, Matt Bonner, 2.102, 3500
C, Tim Duncan, 25.334, 6000
SG, Manu Ginobili, 20.412, 4600
SG, Danny Green, 15.278, 3800
SF, Richard Jefferson, 5.3100000000000005, 3500
PG, Cory Joseph, 13.838000000000001, 3700
SF, Kawhi Leonard, 34.548, 8500
PG, Chris Paul, 37.224000000000004, 9000
PF, Jason Smith, 6.906000000000001, 3500
SF, Tony Allen, 16.48, 3900
PF, Darrell Arthur, 9.914000000000001, 3500
PG, Mike Conley, 30.482, 6500
C, Marc Gasol, 33.1, 7800
PF, Zach Randolph, 28.116, 6500
SF, Chase Budinger, 10.026, 3500
PG, Goran Dragic, 26.398, 5800
PF, Jordan Hill, 18.848, 4800
SG, Courtney Lee, 18.298000000000002, 4400
PG, Kyle Lowry, 40.108, 8900
SG, Kevin Martin, 9.732, 3900
SF, Marcus Morris, 21.53, 5200
PF, Patrick Patterson, 15.28, 3600
PF, Luis Scola, 21.356, 4400
C, Ian Mahinmi, 21.067999999999998, 5000
PF, Dirk Nowitzki, 26.891999999999996, 6900
SF, Jeremy Evans, 3.822, 3500
PG, Devin Harris, 13.336, 3600
SF, Gordon Hayward, 31.866, 7600
C, Enes Kanter, 22.863999999999997, 4800
SF, C.J. Miles, 21.07, 4400
C, Cole Aldrich, 12.576, 4000
C, Nick Collison, 4.448, 3500
SF, Kevin Durant, 43.138, 9900
PF, Serge Ibaka, 28.604, 6500
PG, Reggie Jackson, 28.782, 7200
C, Kendrick Perkins, 5.914, 3500
SG, Raymond Felton, 20.002, 4800
SF, Wesley Matthews, 21.65, 5100
SF, Bojan Bogdanovic, 21.567999999999998, 4400
SG, Wayne Ellington, 16.728, 3800
PF, Kevin Love, 32.396, 7400
SF, Chandler Parsons, 21.857999999999997, 5100
PG, Ricky Rubio, 32.834, 7600
PF, Anthony Tolliver, 12.792, 3600
SF, Derrick Williams, 14.838, 3800
SG, Arron Afflalo, 21.274, 4600
PF, Kenneth Faried, 28.970000000000002, 6500
SF, Danilo Gallinari, 29.64, 7100
PG, Andre Miller, 8.886, 3500
C, Timofey Mozgov, 12.933999999999997, 3500
SG, Tyreke Evans, 33.072, 7500
PG, Isaiah Thomas, 33.897999999999996, 8100
C, Hassan Whiteside, 31.69, 7600
SF, Vince Carter, 2.286, 3500
SF, Jared Dudley, 15.596, 3900
PF, Channing Frye, 12.431999999999999, 3500
C, Marcin Gortat, 30.528, 7000
C, Robin Lopez, 23.183999999999997, 4100
PF, Markieff Morris, 9.26, 4400
SF, Matt Barnes, 18.366, 5000
PG, Steve Blake, 8.95, 3500
SF, Al-Farouq Aminu, 21.067999999999998, 5100
SG, Randy Foye, 10.166, 3500
SG, Eric Gordon, 21.568, 4800
C, DeAndre Jordan, 35.462, 7900
C, Chris Kaman, 0.998, 3500
PG, Mo Williams, 7.116, 4200
C, Louis Amundson, 3.1820000000000004, 3500
SG, Monta Ellis, 27.192, 6000
PF, David Lee, 16.464, 4100
PG, Jeremy Lin, 28.164, 5300
PF, Andrea Bargnani, 7.837999999999999, 3500
PG, Jose Calderon, 18.682, 4100
PF, Ed Davis, 14.882000000000001, 3800
SG, DeMar DeRozan, 34.42399999999999, 8200
C, Amir Johnson, 20.054000000000002, 4400
SF, James Johnson, 14.572, 3500
C, Jonas Valanciunas, 23.126, 5600
PF, Lavoy Allen, 14.206, 3600
PF, Spencer Hawes, 14.998000000000001, 3800
PG, Jrue Holiday, 24.698, 5600
SG, Evan Turner, 27.741999999999997, 5700
C, Nikola Vucevic, 31.165999999999997, 7500
PF, Thaddeus Young, 31.068, 7100
SF, Carmelo Anthony, 36.484, 8600
PG, Toney Douglas, 3.51, 3500
SG, Iman Shumpert, 14.887999999999998, 4100
C, Brook Lopez, 37.838, 8500
SG, Anthony Morrow, 10.39, 3600
PG, Deron Williams, 23.432000000000002, 6200
PF, Kevin Garnett, 13.178, 3500
SF, Jeff Green, 20.488, 4800
SF, Paul Pierce, 13.974, 3900
PF, Tobias Harris, 25.032, 5900
PF, Ersan Ilyasova, 22.323999999999998, 5200
SG, Brandon Jennings, 17.096, 5500
PF, Jon Leuer, 19.612, 4400
PG, Beno Udrih, 4.5280000000000005, 3500
SF, Paul George, 37.826, 8900
PG, George Hill, 26.099999999999998, 5600
SF, Lance Stephenson, 3.2880000000000003, 3500
PF, Jonas Jerebko, 6.916, 3500
PG, Brandon Knight, 31.560000000000002, 6700
SF, Kyle Singler, 5.404, 3500
PG, Rodney Stuckey, 18.448, 4500
PF, Charlie Villanueva, 4.774, 3500
SF, Alonzo Gee, 6.25, 3500
PG, Kyrie Irving, 25.701999999999998, 7600
PG, Ramon Sessions, 21.304000000000002, 4300
PF, Tristan Thompson, 23.238, 4700
C, Anderson Varejao, 5.762, 3500
C, Omer Asik, 11.636, 3500
SF, Luol Deng, 19.188, 4400
PF, Trevor Booker, 18.826, 4300
C, JaVale McGee, 10.08, 3500
C, Kevin Seraphin, 3.8640000000000003, 3500
PG, John Wall, 40.266, 9900
PF, Ryan Anderson, 24.158, 5700
PG, Jameer Nelson, 24.872, 5500
SG, J.J. Redick, 19.009999999999998, 5000
C, Joel Anthony, 2.466, 3500
PF, Chris Bosh, 36.046, 7900
PG, Mario Chalmers, 17.822, 4300
PG, Norris Cole, 23.162, 4400
PF, Udonis Haslem, 2.63, 3500
SF, LeBron James, 41.274, 9700
SF, Mike Miller, 4.702, 3500
SG, Dwyane Wade, 30.165999999999997, 7300
PG, D.J. Augustin, 6.974, 3500
C, Bismack Biyombo, 17.27, 4800
SF, Dante Cunningham, 2.8680000000000003, 3500
PF, Boris Diaw, 16.86, 4200
SG, Gerald Henderson, 10.746, 3500
PG, Kemba Walker, 41.384, 8700
SG, Joe Johnson, 20.096, 5200
C, Zaza Pachulia, 28.738, 6600
PF, Josh Smith, 9.81, 3500
PF, Marvin Williams, 20.666, 4700
PF, Nene Hilario, 6.582, 4100
C, Tyson Chandler, 18.478, 4000
PF, David West, 15.35, 3900
PG, Russell Westbrook, 47.836, 10700
SF, James Jones, 3.654, 3500
PF, Kris Humphries, 6.65, 3500
SG, J.R. Smith, 18.016000000000002, 4600
C, Alexis Ajinca, 8.642, 3500
PG, Patrick Mills, 11.142, 3800
SG, Garrett Temple, 17.974, 4200
SG, Jamal Crawford, 17.753999999999998, 3800
SG, Sasha Vujacic, 2.412, 3500
SF, Tayshaun Prince, 10.806000000000001, 3500
PG, Ronnie Price, 12.738, 3600
SF, Wesley Johnson, 13.932, 3700
PG, Sonny Weems, 2.6679999999999997, 3500
C, Amar'e Stoudemire, 9.428, 3500
PF, Lance Thomas, 13.47, 4000
SF, Gerald Green, 16.332, 3800
SF, P.J. Tucker, 19.046, 4300
PG, Donald Sloan, 12.457999999999998, 3500
PF, Andrew Nicholson, 8.668000000000001, 3600
SF, Will Barton, 32.588, 7300
PG, Jared Cunningham, 5.77, 3500
PF, Mirza Teletovic, 16.332, 3900
PG, Brian Roberts, 6.066000000000001, 3500
PG, Pablo Prigioni, 4.106, 3500
SF, Maurice Harkless, 14.748, 3600
PF, Kyle O'Quinn, 11.106000000000002, 3800
SG, John Jenkins, 2.778, 3500
SG, Jeremy Lamb, 22.549999999999997, 4500
SF, Jae Crowder, 28.306, 6200
SF, Evan Fournier, 19.518, 5000
SG, Dion Waiters, 14.315999999999999, 4000
C, Tyler Zeller, 5.1080000000000005, 3500
C, Thomas Robinson, 6.786, 3500
PF, Jared Sullinger, 20.32, 5600
PG, Austin Rivers, 14.672, 4000
C, Andre Drummond, 38.432, 9200
SF, Terrence Ross, 16.752, 3900
PF, Meyers Leonard, 17.348, 4000
PG, Damian Lillard, 35.07, 8800
PF, Anthony Davis, 44.230000000000004, 10200
