position, player, projection, salary
C, Matt Bonner, 2.1958, 3500
C, Tim Duncan, 25.668599999999998, 6000
SG, Manu Ginobili, 20.3448, 4600
SG, Danny Green, 14.8762, 3800
SF, Richard Jefferson, 4.589, 3500
PG, Cory Joseph, 14.290200000000002, 3700
SF, Kawhi Leonard, 35.2592, 8500
PG, Chris Paul, 36.8096, 9000
PF, Jason Smith, 5.4374, 3500
SF, Tony Allen, 16.311999999999998, 3900
PF, Darrell Arthur, 9.450600000000001, 3500
PG, Mike Conley, 30.547800000000002, 6500
C, Marc Gasol, 33.45, 7800
PF, Zach Randolph, 27.5364, 6500
SF, Chase Budinger, 9.6354, 3500
PG, Goran Dragic, 26.514200000000002, 5800
PF, Jordan Hill, 18.7192, 4800
SG, Courtney Lee, 17.644199999999998, 4400
PG, Kyle Lowry, 39.923199999999994, 8900
SG, Kevin Martin, 8.992799999999999, 3900
SF, Marcus Morris, 21.957, 5200
PF, Patrick Patterson, 15.532, 3600
PF, Luis Scola, 21.3924, 4400
C, Ian Mahinmi, 21.3172, 5000
PF, Dirk Nowitzki, 27.0068, 6900
SF, Jeremy Evans, 3.9438, 3500
PG, Devin Harris, 13.974400000000001, 3600
SF, Gordon Hayward, 31.3914, 7600
C, Enes Kanter, 22.995599999999996, 4800
SF, C.J. Miles, 20.643, 4400
C, Cole Aldrich, 10.680399999999999, 4000
C, Nick Collison, 4.949199999999999, 3500
SF, Kevin Durant, 42.7502, 9900
PF, Serge Ibaka, 28.581599999999998, 6500
PG, Reggie Jackson, 28.9878, 7200
C, Kendrick Perkins, 6.0106, 3500
SG, Raymond Felton, 20.0958, 4800
SF, Wesley Matthews, 21.685, 5100
SF, Bojan Bogdanovic, 20.9772, 4400
SG, Wayne Ellington, 16.6412, 3800
PF, Kevin Love, 33.3284, 7400
SF, Chandler Parsons, 21.7082, 5100
PG, Ricky Rubio, 32.5386, 7600
PF, Anthony Tolliver, 12.5568, 3600
SF, Derrick Williams, 14.1702, 3800
SG, Arron Afflalo, 20.7546, 4600
PF, Kenneth Faried, 28.753, 6500
SF, Danilo Gallinari, 29.695999999999998, 7100
PG, Andre Miller, 9.8394, 3500
C, Timofey Mozgov, 13.3386, 3500
SG, Tyreke Evans, 32.7388, 7500
PG, Isaiah Thomas, 33.8742, 8100
C, Hassan Whiteside, 31.151, 7600
SF, Vince Carter, 1.9094, 3500
SF, Jared Dudley, 16.0384, 3900
PF, Channing Frye, 12.3928, 3500
C, Marcin Gortat, 30.0212, 7000
C, Robin Lopez, 22.5036, 4100
PF, Markieff Morris, 8.224, 4400
SF, Matt Barnes, 18.2414, 5000
PG, Steve Blake, 8.075, 3500
SF, Al-Farouq Aminu, 21.1772, 5100
SG, Randy Foye, 9.9714, 3500
SG, Eric Gordon, 22.0272, 4800
C, DeAndre Jordan, 34.9398, 7900
C, Chris Kaman, 1.0442, 3500
PG, Mo Williams, 6.8164, 4200
C, Louis Amundson, 2.6878, 3500
SG, Monta Ellis, 26.9568, 6000
PF, David Lee, 15.9656, 4100
PG, Jeremy Lin, 28.9956, 5300
PF, Andrea Bargnani, 8.780199999999999, 3500
PG, Jose Calderon, 18.3978, 4100
PF, Ed Davis, 15.5778, 3800
SG, DeMar DeRozan, 34.0796, 8200
C, Amir Johnson, 19.9266, 4400
SF, James Johnson, 15.568800000000001, 3500
C, Jonas Valanciunas, 23.0854, 5600
PF, Lavoy Allen, 13.927399999999999, 3600
PF, Spencer Hawes, 15.044200000000002, 3800
PG, Jrue Holiday, 25.4442, 5600
SG, Evan Turner, 27.9618, 5700
C, Nikola Vucevic, 31.9514, 7500
PF, Thaddeus Young, 30.4772, 7100
SF, Carmelo Anthony, 35.8036, 8600
PG, Toney Douglas, 3.699, 3500
SG, Iman Shumpert, 15.3052, 4100
C, Brook Lopez, 36.540200000000006, 8500
