position, player, projection, salary
C, Matt Bonner, 1.9278000000000002, 3500
C, Tim Duncan, 24.712600000000002, 6000
SG, Manu Ginobili, 20.5368, 4600
SG, Danny Green, 16.0242, 3800
SF, Richard Jefferson, 6.649000000000001, 3500
PG, Cory Joseph, 12.9982, 3700
SF, Kawhi Leonard, 33.2272, 8500
PG, Chris Paul, 37.9936, 9000
PF, Jason Smith, 9.6334, 3500
SF, Tony Allen, 16.792, 3900
PF, Darrell Arthur, 10.774600000000001, 3500
PG, Mike Conley, 30.359800000000003, 6500
C, Marc Gasol, 32.45, 7800
PF, Zach Randolph, 29.192400000000003, 6500
SF, Chase Budinger, 10.7514, 3500
PG, Goran Dragic, 26.1822, 5800
PF, Jordan Hill, 19.087200000000003, 4800
SG, Courtney Lee, 19.512200000000004, 4400
PG, Kyle Lowry, 40.4512, 8900
SG, Kevin Martin, 11.104800000000001, 3900
SF, Marcus Morris, 20.737000000000002, 5200
PF, Patrick Patterson, 14.812000000000001, 3600
PF, Luis Scola, 21.288400000000003, 4400
C, Ian Mahinmi, 20.605200000000004, 5000
PF, Dirk Nowitzki, 26.6788, 6900
SF, Jeremy Evans, 3.5958, 3500
PG, Devin Harris, 12.150400000000001, 3600
SF, Gordon Hayward, 32.7474, 7600
C, Enes Kanter, 22.619600000000002, 4800
SF, C.J. Miles, 21.863, 4400
C, Cole Aldrich, 16.096400000000003, 4000
C, Nick Collison, 3.5172, 3500
SF, Kevin Durant, 43.8582, 9900
PF, Serge Ibaka, 28.6456, 6500
PG, Reggie Jackson, 28.399800000000003, 7200
C, Kendrick Perkins, 5.7346, 3500
SG, Raymond Felton, 19.827800000000003, 4800
SF, Wesley Matthews, 21.585, 5100
SF, Bojan Bogdanovic, 22.665200000000002, 4400
SG, Wayne Ellington, 16.889200000000002, 3800
PF, Kevin Love, 30.6644, 7400
SF, Chandler Parsons, 22.136200000000002, 5100
PG, Ricky Rubio, 33.3826, 7600
PF, Anthony Tolliver, 13.2288, 3600
SF, Derrick Williams, 16.078200000000002, 3800
SG, Arron Afflalo, 22.2386, 4600
PF, Kenneth Faried, 29.373000000000005, 6500
SF, Danilo Gallinari, 29.536, 7100
PG, Andre Miller, 7.1154, 3500
C, Timofey Mozgov, 12.1826, 3500
SG, Tyreke Evans, 33.690799999999996, 7500
PG, Isaiah Thomas, 33.9422, 8100
C, Hassan Whiteside, 32.691, 7600
SF, Vince Carter, 2.9854, 3500
SF, Jared Dudley, 14.7744, 3900
PF, Channing Frye, 12.504800000000001, 3500
C, Marcin Gortat, 31.469200000000004, 7000
C, Robin Lopez, 24.4476, 4100
PF, Markieff Morris, 11.184, 4400
SF, Matt Barnes, 18.5974, 5000
PG, Steve Blake, 10.575, 3500
SF, Al-Farouq Aminu, 20.8652, 5100
SG, Randy Foye, 10.5274, 3500
SG, Eric Gordon, 20.715200000000003, 4800
C, DeAndre Jordan, 36.4318, 7900
C, Chris Kaman, 0.9122, 3500
PG, Mo Williams, 7.6724000000000006, 4200
C, Louis Amundson, 4.0998, 3500
SG, Monta Ellis, 27.628800000000002, 6000
PF, David Lee, 17.3896, 4100
PG, Jeremy Lin, 26.619600000000002, 5300
PF, Andrea Bargnani, 6.0882000000000005, 3500
PG, Jose Calderon, 19.2098, 4100
PF, Ed Davis, 13.589800000000002, 3800
SG, DeMar DeRozan, 35.0636, 8200
C, Amir Johnson, 20.290600000000005, 4400
SF, James Johnson, 12.720800000000002, 3500
C, Jonas Valanciunas, 23.201400000000003, 5600
PF, Lavoy Allen, 14.723400000000002, 3600
PF, Spencer Hawes, 14.912200000000002, 3800
PG, Jrue Holiday, 23.3122, 5600
SG, Evan Turner, 27.333800000000004, 5700
C, Nikola Vucevic, 29.7074, 7500
PF, Thaddeus Young, 32.1652, 7100
SF, Carmelo Anthony, 37.747600000000006, 8600
PG, Toney Douglas, 3.1590000000000003, 3500
SG, Iman Shumpert, 14.1132, 4100
C, Brook Lopez, 40.248200000000004, 8500
SG, Anthony Morrow, 11.391, 3600
PG, Deron Williams, 20.7748, 6200
PF, Kevin Garnett, 13.2742, 3500
SF, Jeff Green, 21.1432, 4800
SF, Paul Pierce, 15.588600000000001, 3900
PF, Tobias Harris, 24.3248, 5900
PF, Ersan Ilyasova, 23.093600000000002, 5200
SG, Brandon Jennings, 15.7544, 5500
PF, Jon Leuer, 19.3468, 4400
PG, Beno Udrih, 5.8592, 3500
SF, Paul George, 38.421400000000006, 8900
PG, George Hill, 26.36, 5600
SF, Lance Stephenson, 4.203200000000001, 3500
PF, Jonas Jerebko, 7.732400000000001, 3500
PG, Brandon Knight, 30.494000000000007, 6700
SF, Kyle Singler, 5.8356, 3500
PG, Rodney Stuckey, 17.7772, 4500
PF, Charlie Villanueva, 6.1286000000000005, 3500
SF, Alonzo Gee, 6.575, 3500
PG, Kyrie Irving, 25.1378, 7600
PG, Ramon Sessions, 21.865600000000004, 4300
PF, Tristan Thompson, 22.398200000000003, 4700
C, Anderson Varejao, 5.6918, 3500
C, Omer Asik, 10.970400000000001, 3500
SF, Luol Deng, 18.4132, 4400
PF, Trevor Booker, 18.901400000000002, 4300
C, JaVale McGee, 8.572, 3500
C, Kevin Seraphin, 4.7896, 3500
PG, John Wall, 42.0574, 9900
PF, Ryan Anderson, 23.656200000000002, 5700
PG, Jameer Nelson, 27.440800000000003, 5500
SG, J.J. Redick, 16.709, 5000
C, Joel Anthony, 2.6974, 3500
PF, Chris Bosh, 36.8494, 7900
PG, Mario Chalmers, 18.3758, 4300
PG, Norris Cole, 23.6118, 4400
PF, Udonis Haslem, 3.267, 3500
SF, LeBron James, 38.988600000000005, 9700
SF, Mike Miller, 4.787800000000001, 3500
SG, Dwyane Wade, 30.5274, 7300
PG, D.J. Augustin, 6.508600000000001, 3500
C, Bismack Biyombo, 17.673000000000002, 4800
SF, Dante Cunningham, 2.9252000000000002, 3500
PF, Boris Diaw, 18.914, 4200
SG, Gerald Henderson, 10.8994, 3500
PG, Kemba Walker, 43.1676, 8700
SG, Joe Johnson, 19.404400000000003, 5200
C, Zaza Pachulia, 30.628200000000003, 6600
PF, Josh Smith, 9.329, 3500
PF, Marvin Williams, 19.857400000000002, 4700
PF, Nene Hilario, 3.7298000000000004, 4100
C, Tyson Chandler, 18.1842, 4000
PF, David West, 17.105, 3900
PG, Russell Westbrook, 48.9904, 10700
SF, James Jones, 5.320600000000001, 3500
PF, Kris Humphries, 9.055, 3500
SG, J.R. Smith, 18.052400000000002, 4600
