position, player, projection, salary
C, Matt Bonner, 2.0282999999999998, 3500
C, Tim Duncan, 25.0711, 6000
SG, Manu Ginobili, 20.4648, 4600
SG, Danny Green, 15.5937, 3800
SF, Richard Jefferson, 5.876500000000001, 3500
PG, Cory Joseph, 13.482700000000001, 3700
SF, Kawhi Leonard, 33.9892, 8500
PG, Chris Paul, 37.5496, 9000
PF, Jason Smith, 8.059899999999999, 3500
SF, Tony Allen, 16.612000000000002, 3900
PF, Darrell Arthur, 10.2781, 3500
PG, Mike Conley, 30.4303, 6500
C, Marc Gasol, 32.825, 7800
PF, Zach Randolph, 28.571400000000004, 6500
SF, Chase Budinger, 10.332899999999999, 3500
PG, Goran Dragic, 26.3067, 5800
PF, Jordan Hill, 18.949199999999998, 4800
SG, Courtney Lee, 18.811700000000002, 4400
PG, Kyle Lowry, 40.25319999999999, 8900
SG, Kevin Martin, 10.312800000000001, 3900
SF, Marcus Morris, 21.194499999999998, 5200
PF, Patrick Patterson, 15.082, 3600
PF, Luis Scola, 21.327399999999997, 4400
C, Ian Mahinmi, 20.8722, 5000
PF, Dirk Nowitzki, 26.8018, 6900
SF, Jeremy Evans, 3.7262999999999997, 3500
PG, Devin Harris, 12.834399999999999, 3600
SF, Gordon Hayward, 32.2389, 7600
C, Enes Kanter, 22.7606, 4800
SF, C.J. Miles, 21.4055, 4400
C, Cole Aldrich, 14.0654, 4000
C, Nick Collison, 4.0542, 3500
SF, Kevin Durant, 43.4427, 9900
PF, Serge Ibaka, 28.6216, 6500
PG, Reggie Jackson, 28.6203, 7200
C, Kendrick Perkins, 5.838100000000001, 3500
SG, Raymond Felton, 19.9283, 4800
SF, Wesley Matthews, 21.622500000000002, 5100
SF, Bojan Bogdanovic, 22.0322, 4400
SG, Wayne Ellington, 16.7962, 3800
PF, Kevin Love, 31.663400000000003, 7400
SF, Chandler Parsons, 21.9757, 5100
PG, Ricky Rubio, 33.0661, 7600
PF, Anthony Tolliver, 12.9768, 3600
SF, Derrick Williams, 15.3627, 3800
SG, Arron Afflalo, 21.6821, 4600
PF, Kenneth Faried, 29.1405, 6500
SF, Danilo Gallinari, 29.596, 7100
PG, Andre Miller, 8.136899999999999, 3500
C, Timofey Mozgov, 12.6161, 3500
SG, Tyreke Evans, 33.3338, 7500
PG, Isaiah Thomas, 33.9167, 8100
C, Hassan Whiteside, 32.1135, 7600
SF, Vince Carter, 2.5819, 3500
SF, Jared Dudley, 15.2484, 3900
PF, Channing Frye, 12.462800000000001, 3500
C, Marcin Gortat, 30.9262, 7000
C, Robin Lopez, 23.718600000000002, 4100
PF, Markieff Morris, 10.074, 4400
SF, Matt Barnes, 18.463900000000002, 5000
PG, Steve Blake, 9.6375, 3500
SF, Al-Farouq Aminu, 20.9822, 5100
SG, Randy Foye, 10.3189, 3500
SG, Eric Gordon, 21.2072, 4800
C, DeAndre Jordan, 35.872299999999996, 7900
C, Chris Kaman, 0.9617, 3500
PG, Mo Williams, 7.3514, 4200
C, Louis Amundson, 3.5702999999999996, 3500
SG, Monta Ellis, 27.3768, 6000
PF, David Lee, 16.8556, 4100
PG, Jeremy Lin, 27.5106, 5300
PF, Andrea Bargnani, 7.0977, 3500
PG, Jose Calderon, 18.905299999999997, 4100
PF, Ed Davis, 14.3353, 3800
SG, DeMar DeRozan, 34.6946, 8200
C, Amir Johnson, 20.1541, 4400
SF, James Johnson, 13.7888, 3500
C, Jonas Valanciunas, 23.1579, 5600
PF, Lavoy Allen, 14.424900000000001, 3600
PF, Spencer Hawes, 14.9617, 3800
PG, Jrue Holiday, 24.1117, 5600
SG, Evan Turner, 27.569300000000002, 5700
C, Nikola Vucevic, 30.5489, 7500
PF, Thaddeus Young, 31.532200000000003, 7100
SF, Carmelo Anthony, 37.0186, 8600
PG, Toney Douglas, 3.3615000000000004, 3500
SG, Iman Shumpert, 14.560199999999998, 4100
C, Brook Lopez, 38.8577, 8500
SG, Anthony Morrow, 10.8135, 3600
PG, Deron Williams, 22.3078, 6200
PF, Kevin Garnett, 13.2187, 3500
SF, Jeff Green, 20.7652, 4800
SF, Paul Pierce, 14.6571, 3900
PF, Tobias Harris, 24.732799999999997, 5900
PF, Ersan Ilyasova, 22.6496, 5200
SG, Brandon Jennings, 16.5284, 5500
PF, Jon Leuer, 19.4998, 4400
PG, Beno Udrih, 5.0912, 3500
SF, Paul George, 38.0779, 8900
PG, George Hill, 26.21, 5600
SF, Lance Stephenson, 3.6752000000000002, 3500
PF, Jonas Jerebko, 7.2614, 3500
PG, Brandon Knight, 31.109, 6700
SF, Kyle Singler, 5.586600000000001, 3500
PG, Rodney Stuckey, 18.1642, 4500
PF, Charlie Villanueva, 5.3471, 3500
SF, Alonzo Gee, 6.3875, 3500
PG, Kyrie Irving, 25.463299999999997, 7600
PG, Ramon Sessions, 21.541600000000003, 4300
PF, Tristan Thompson, 22.8827, 4700
C, Anderson Varejao, 5.7323, 3500
C, Omer Asik, 11.3544, 3500
SF, Luol Deng, 18.8602, 4400
PF, Trevor Booker, 18.8579, 4300
C, JaVale McGee, 9.442, 3500
C, Kevin Seraphin, 4.2556, 3500
PG, John Wall, 41.0239, 9900
PF, Ryan Anderson, 23.945700000000002, 5700
PG, Jameer Nelson, 25.9588, 5500
SG, J.J. Redick, 18.0365, 5000
C, Joel Anthony, 2.5639, 3500
PF, Chris Bosh, 36.38590000000001, 7900
PG, Mario Chalmers, 18.0563, 4300
PG, Norris Cole, 23.3523, 4400
PF, Udonis Haslem, 2.8994999999999997, 3500
SF, LeBron James, 40.3071, 9700
SF, Mike Miller, 4.738300000000001, 3500
SG, Dwyane Wade, 30.3189, 7300
PG, D.J. Augustin, 6.777100000000001, 3500
C, Bismack Biyombo, 17.4405, 4800
SF, Dante Cunningham, 2.8922, 3500
PF, Boris Diaw, 17.729, 4200
SG, Gerald Henderson, 10.8109, 3500
PG, Kemba Walker, 42.1386, 8700
SG, Joe Johnson, 19.8034, 5200
C, Zaza Pachulia, 29.5377, 6600
PF, Josh Smith, 9.6065, 3500
PF, Marvin Williams, 20.323900000000002, 4700
PF, Nene Hilario, 5.3753, 4100
C, Tyson Chandler, 18.353700000000003, 4000
PF, David West, 16.0925, 3900
PG, Russell Westbrook, 48.3244, 10700
SF, James Jones, 4.3591, 3500
PF, Kris Humphries, 7.6674999999999995, 3500
SG, J.R. Smith, 18.0314, 4600
C, Alexis Ajinca, 8.5243, 3500
PG, Patrick Mills, 9.0993, 3800
SG, Garrett Temple, 17.7221, 4200
SG, Jamal Crawford, 17.689099999999996, 3800
SG, Sasha Vujacic, 2.3548, 3500
SF, Tayshaun Prince, 11.024899999999999, 3500
PG, Ronnie Price, 13.3727, 3600
SF, Wesley Johnson, 14.5128, 3700
PG, Sonny Weems, 3.0221999999999998, 3500
C, Amar'e Stoudemire, 9.331199999999999, 3500
PF, Lance Thomas, 13.090499999999999, 4000
SF, Gerald Green, 16.4728, 3800
SF, P.J. Tucker, 18.725900000000003, 4300
PG, Donald Sloan, 12.300699999999999, 3500
PF, Andrew Nicholson, 9.792200000000001, 3600
SF, Will Barton, 32.9202, 7300
PG, Jared Cunningham, 5.4455, 3500
PF, Mirza Teletovic, 16.6378, 3900
PG, Brian Roberts, 6.4389, 3500
PG, Pablo Prigioni, 4.8749, 3500
SF, Maurice Harkless, 15.2892, 3600
PF, Kyle O'Quinn, 11.1599, 3800
SG, John Jenkins, 3.0937, 3500
SG, Jeremy Lamb, 22.3575, 4500
SF, Jae Crowder, 28.7449, 6200
SF, Evan Fournier, 19.459699999999998, 5000
SG, Dion Waiters, 14.2214, 4000
C, Tyler Zeller, 5.2532000000000005, 3500
C, Thomas Robinson, 6.5869, 3500
PF, Jared Sullinger, 20.078, 5600
PG, Austin Rivers, 15.0988, 4000
C, Andre Drummond, 38.5728, 9200
SF, Terrence Ross, 16.320800000000002, 3900
PF, Meyers Leonard, 17.6142, 4000
PG, Damian Lillard, 34.9655, 8800
PF, Anthony Davis, 44.444500000000005, 10200
C, Aron Baynes, 10.9574, 3700
SG, Victor Oladipo, 25.873400000000004, 5700
SF, Otto Porter, 26.588500000000003, 5900
C, Cody Zeller, 24.108400000000003, 4700
C, Alex Len, 12.8948, 4300
SG, Kentavious Caldwell-Pope, 23.7583, 5900
PG, Trey Burke, 22.719699999999996, 4900
SG, C.J. McCollum, 31.2242, 8200
C, Steven Adams, 18.8579, 4200
C, Kelly Olynyk, 21.154899999999998, 4300
SG, Shabazz Muhammad, 16.070800000000002, 3900
PG, Shane Larkin, 17.8577, 4300
PF, Gorgui Dieng, 22.2339, 5000
C, Mason Plumlee, 19.1032, 5000
SF, Solomon Hill, 7.8369, 3500
SG, Andre Roberson, 13.2463, 3500
SG, Archie Goodwin, 8.1675, 3500
SG, Allen Crabbe, 20.2407, 4600
C, Jeff Withey, 27.1631, 4700
PG, Raul Neto, 9.6034, 3500
C, Joffrey Lauvergne, 11.322600000000001, 3900
PG, Matthew Dellavedova, 18.1243, 4400
C, Dewayne Dedmon, 4.220400000000001, 3500
SF, Andrew Wiggins, 28.9414, 6600
SF, Aaron Gordon, 17.6466, 3600
PG, Marcus Smart, 15.8997, 4800
PF, Noah Vonleh, 11.7055, 3500
PG, Zach LaVine, 15.1069, 4300
SF, T.J. Warren, 17.0539, 4300
PF, Adreian Payne, 4.5825000000000005, 3500
C, Jusuf Nurkic, 8.7262, 3900
SG, Gary Harris, 20.7046, 4300
SG, Rodney Hood, 26.195999999999998, 5600
PG, Shabazz Napier, 5.978899999999999, 3500
SG, P.J. Hairston, 8.736, 3500
SF, Kyle Anderson, 6.6951, 3500
PF, Glenn Robinson III, 4.137499999999999, 3500
SG, Markel Brown, 1.8147000000000002, 3500
PF, Dwight Powell, 11.6247, 3500
SF, Kostas Papanikolaou, 5.4975, 3500
SF, Joe Ingles, 7.5207, 3500
SG, Elijah Millsap, 3.8834, 3500
PG, Langston Galloway, 12.7208, 3900
PG, Tyler Johnson, 17.7835, 4000
PF, JaMychal Green, 10.1886, 3500
PG, Tim Frazier, 7.5908, 3500
C, Karl-Anthony Towns, 32.0426, 7500
PF, Kristaps Porzingis, 26.459, 6200
SG, Mario Hezonja, 7.654599999999999, 3500
PG, Emmanuel Mudiay, 16.149900000000002, 4900
SF, Stanley Johnson, 15.4588, 3800
PF, Frank Kaminsky, 19.0824, 4000
SF, Justise Winslow, 14.0976, 3500
PF, Trey Lyles, 10.8103, 3500
SG, Devin Booker, 18.814700000000002, 3600
PG, Cameron Payne, 15.904800000000002, 3700
SF, Kelly Oubre, 11.3589, 3500
PG, Jerian Grant, 8.0214, 3500
PG, Tyus Jones, 5.425700000000001, 3500
SG, Pat Connaughton, 1.4635, 3500
SG, Joseph Young, 1.8178999999999998, 3500
PF, Nemanja Bjelica, 4.601500000000001, 3500
C, Nikola Jokic, 17.6615, 4500
C, Boban Marjanovic, 9.1424, 3500
SF, Jonathon Simmons, 9.3641, 3600
SF, Jarell Eddie, 2.8224, 3500
