position, player, projection, salary
C, Matt Bonner, 1.7268, 3500
C, Tim Duncan, 23.9956, 6000
SG, Manu Ginobili, 20.6808, 4600
SG, Danny Green, 16.8852, 3800
SF, Richard Jefferson, 8.194, 3500
PG, Cory Joseph, 12.0292, 3700
SF, Kawhi Leonard, 31.7032, 8500
PG, Chris Paul, 38.8816, 9000
PF, Jason Smith, 12.780399999999998, 3500
SF, Tony Allen, 17.152, 3900
PF, Darrell Arthur, 11.7676, 3500
PG, Mike Conley, 30.218799999999998, 6500
C, Marc Gasol, 31.7, 7800
PF, Zach Randolph, 30.4344, 6500
SF, Chase Budinger, 11.5884, 3500
PG, Goran Dragic, 25.933199999999996, 5800
PF, Jordan Hill, 19.3632, 4800
SG, Courtney Lee, 20.9132, 4400
PG, Kyle Lowry, 40.847199999999994, 8900
SG, Kevin Martin, 12.6888, 3900
SF, Marcus Morris, 19.822, 5200
PF, Patrick Patterson, 14.272, 3600
PF, Luis Scola, 21.2104, 4400
C, Ian Mahinmi, 20.0712, 5000
PF, Dirk Nowitzki, 26.432799999999997, 6900
SF, Jeremy Evans, 3.3347999999999995, 3500
PG, Devin Harris, 10.7824, 3600
SF, Gordon Hayward, 33.764399999999995, 7600
C, Enes Kanter, 22.337600000000002, 4800
SF, C.J. Miles, 22.778, 4400
C, Cole Aldrich, 20.1584, 4000
C, Nick Collison, 2.4431999999999996, 3500
SF, Kevin Durant, 44.68919999999999, 9900
PF, Serge Ibaka, 28.6936, 6500
PG, Reggie Jackson, 27.9588, 7200
C, Kendrick Perkins, 5.5276, 3500
SG, Raymond Felton, 19.6268, 4800
SF, Wesley Matthews, 21.51, 5100
SF, Bojan Bogdanovic, 23.9312, 4400
SG, Wayne Ellington, 17.0752, 3800
PF, Kevin Love, 28.6664, 7400
SF, Chandler Parsons, 22.457199999999997, 5100
PG, Ricky Rubio, 34.0156, 7600
PF, Anthony Tolliver, 13.7328, 3600
SF, Derrick Williams, 17.509199999999996, 3800
SG, Arron Afflalo, 23.351599999999998, 4600
PF, Kenneth Faried, 29.837999999999997, 6500
SF, Danilo Gallinari, 29.415999999999997, 7100
PG, Andre Miller, 5.0724, 3500
C, Timofey Mozgov, 11.315599999999998, 3500
SG, Tyreke Evans, 34.404799999999994, 7500
PG, Isaiah Thomas, 33.9932, 8100
C, Hassan Whiteside, 33.846000000000004, 7600
SF, Vince Carter, 3.7923999999999998, 3500
SF, Jared Dudley, 13.8264, 3900
PF, Channing Frye, 12.5888, 3500
C, Marcin Gortat, 32.555200000000006, 7000
C, Robin Lopez, 25.9056, 4100
PF, Markieff Morris, 13.404, 4400
SF, Matt Barnes, 18.8644, 5000
PG, Steve Blake, 12.45, 3500
SF, Al-Farouq Aminu, 20.6312, 5100
SG, Randy Foye, 10.944399999999998, 3500
SG, Eric Gordon, 19.731199999999998, 4800
C, DeAndre Jordan, 37.5508, 7900
C, Chris Kaman, 0.8132, 3500
PG, Mo Williams, 8.314400000000001, 4200
C, Louis Amundson, 5.1588, 3500
SG, Monta Ellis, 28.1328, 6000
PF, David Lee, 18.457600000000003, 4100
PG, Jeremy Lin, 24.8376, 5300
PF, Andrea Bargnani, 4.0691999999999995, 3500
PG, Jose Calderon, 19.8188, 4100
PF, Ed Davis, 12.098799999999999, 3800
SG, DeMar DeRozan, 35.8016, 8200
C, Amir Johnson, 20.5636, 4400
SF, James Johnson, 10.5848, 3500
C, Jonas Valanciunas, 23.2884, 5600
PF, Lavoy Allen, 15.3204, 3600
PF, Spencer Hawes, 14.8132, 3800
PG, Jrue Holiday, 21.7132, 5600
SG, Evan Turner, 26.862799999999996, 5700
C, Nikola Vucevic, 28.0244, 7500
PF, Thaddeus Young, 33.4312, 7100
SF, Carmelo Anthony, 39.2056, 8600
PG, Toney Douglas, 2.754, 3500
SG, Iman Shumpert, 13.219199999999999, 4100
C, Brook Lopez, 43.029199999999996, 8500
SG, Anthony Morrow, 12.545999999999998, 3600
PG, Deron Williams, 17.7088, 6200
PF, Kevin Garnett, 13.3852, 3500
SF, Jeff Green, 21.899199999999997, 4800
SF, Paul Pierce, 17.4516, 3900
PF, Tobias Harris, 23.508799999999997, 5900
PF, Ersan Ilyasova, 23.9816, 5200
SG, Brandon Jennings, 14.206399999999999, 5500
PF, Jon Leuer, 19.040799999999997, 4400
PG, Beno Udrih, 7.395199999999999, 3500
SF, Paul George, 39.108399999999996, 8900
PG, George Hill, 26.659999999999997, 5600
SF, Lance Stephenson, 5.2592, 3500
PF, Jonas Jerebko, 8.6744, 3500
PG, Brandon Knight, 29.264, 6700
SF, Kyle Singler, 6.333600000000001, 3500
PG, Rodney Stuckey, 17.003199999999996, 4500
PF, Charlie Villanueva, 7.691599999999999, 3500
SF, Alonzo Gee, 6.95, 3500
PG, Kyrie Irving, 24.4868, 7600
PG, Ramon Sessions, 22.5136, 4300
PF, Tristan Thompson, 21.4292, 4700
C, Anderson Varejao, 5.610799999999999, 3500
C, Omer Asik, 10.202399999999999, 3500
SF, Luol Deng, 17.519199999999998, 4400
PF, Trevor Booker, 18.9884, 4300
