position, player, projection, salary
C, Matt Bonner, 2.2092, 3500
C, Tim Duncan, 25.7164, 6000
SG, Manu Ginobili, 20.3352, 4600
SG, Danny Green, 14.818800000000001, 3800
SF, Richard Jefferson, 4.486000000000001, 3500
PG, Cory Joseph, 14.354800000000001, 3700
SF, Kawhi Leonard, 35.3608, 8500
PG, Chris Paul, 36.7504, 9000
PF, Jason Smith, 5.2276, 3500
SF, Tony Allen, 16.288, 3900
PF, Darrell Arthur, 9.3844, 3500
PG, Mike Conley, 30.5572, 6500
C, Marc Gasol, 33.5, 7800
PF, Zach Randolph, 27.4536, 6500
SF, Chase Budinger, 9.5796, 3500
PG, Goran Dragic, 26.5308, 5800
PF, Jordan Hill, 18.7008, 4800
SG, Courtney Lee, 17.550800000000002, 4400
PG, Kyle Lowry, 39.8968, 8900
SG, Kevin Martin, 8.8872, 3900
SF, Marcus Morris, 22.018, 5200
PF, Patrick Patterson, 15.568, 3600
PF, Luis Scola, 21.3976, 4400
C, Ian Mahinmi, 21.352800000000002, 5000
PF, Dirk Nowitzki, 27.0232, 6900
SF, Jeremy Evans, 3.9612, 3500
PG, Devin Harris, 14.0656, 3600
SF, Gordon Hayward, 31.3236, 7600
C, Enes Kanter, 23.0144, 4800
SF, C.J. Miles, 20.582, 4400
C, Cole Aldrich, 10.409600000000001, 4000
C, Nick Collison, 5.0207999999999995, 3500
SF, Kevin Durant, 42.6948, 9900
PF, Serge Ibaka, 28.578400000000002, 6500
PG, Reggie Jackson, 29.017200000000003, 7200
C, Kendrick Perkins, 6.0244, 3500
SG, Raymond Felton, 20.1092, 4800
SF, Wesley Matthews, 21.69, 5100
SF, Bojan Bogdanovic, 20.892799999999998, 4400
SG, Wayne Ellington, 16.628800000000002, 3800
PF, Kevin Love, 33.461600000000004, 7400
SF, Chandler Parsons, 21.686799999999998, 5100
PG, Ricky Rubio, 32.4964, 7600
PF, Anthony Tolliver, 12.5232, 3600
SF, Derrick Williams, 14.0748, 3800
SG, Arron Afflalo, 20.6804, 4600
PF, Kenneth Faried, 28.722, 6500
SF, Danilo Gallinari, 29.704, 7100
PG, Andre Miller, 9.975599999999998, 3500
C, Timofey Mozgov, 13.3964, 3500
SG, Tyreke Evans, 32.691199999999995, 7500
PG, Isaiah Thomas, 33.8708, 8100
C, Hassan Whiteside, 31.073999999999998, 7600
SF, Vince Carter, 1.8556, 3500
SF, Jared Dudley, 16.101599999999998, 3900
PF, Channing Frye, 12.3872, 3500
C, Marcin Gortat, 29.9488, 7000
C, Robin Lopez, 22.406399999999998, 4100
PF, Markieff Morris, 8.076, 4400
SF, Matt Barnes, 18.2236, 5000
PG, Steve Blake, 7.949999999999999, 3500
SF, Al-Farouq Aminu, 21.1928, 5100
SG, Randy Foye, 9.9436, 3500
SG, Eric Gordon, 22.0928, 4800
C, DeAndre Jordan, 34.8652, 7900
C, Chris Kaman, 1.0508, 3500
PG, Mo Williams, 6.7736, 4200
C, Louis Amundson, 2.6172, 3500
SG, Monta Ellis, 26.9232, 6000
PF, David Lee, 15.8944, 4100
PG, Jeremy Lin, 29.1144, 5300
PF, Andrea Bargnani, 8.9148, 3500
PG, Jose Calderon, 18.3572, 4100
PF, Ed Davis, 15.677200000000001, 3800
SG, DeMar DeRozan, 34.0304, 8200
C, Amir Johnson, 19.9084, 4400
SF, James Johnson, 15.711200000000002, 3500
C, Jonas Valanciunas, 23.0796, 5600
PF, Lavoy Allen, 13.8876, 3600
PF, Spencer Hawes, 15.0508, 3800
PG, Jrue Holiday, 25.5508, 5600
SG, Evan Turner, 27.993199999999998, 5700
C, Nikola Vucevic, 32.063599999999994, 7500
PF, Thaddeus Young, 30.3928, 7100
SF, Carmelo Anthony, 35.7064, 8600
PG, Toney Douglas, 3.726, 3500
