position, player, projection, salary
C, Matt Bonner, 2.1757, 3500
C, Tim Duncan, 25.596899999999998, 6000
SG, Manu Ginobili, 20.359199999999998, 4600
SG, Danny Green, 14.962299999999999, 3800
SF, Richard Jefferson, 4.7435, 3500
PG, Cory Joseph, 14.1933, 3700
SF, Kawhi Leonard, 35.1068, 8500
PG, Chris Paul, 36.898399999999995, 9000
PF, Jason Smith, 5.7520999999999995, 3500
SF, Tony Allen, 16.348, 3900
PF, Darrell Arthur, 9.5499, 3500
PG, Mike Conley, 30.5337, 6500
C, Marc Gasol, 33.375, 7800
PF, Zach Randolph, 27.660600000000002, 6500
SF, Chase Budinger, 9.7191, 3500
PG, Goran Dragic, 26.4893, 5800
PF, Jordan Hill, 18.7468, 4800
SG, Courtney Lee, 17.784299999999998, 4400
PG, Kyle Lowry, 39.962799999999994, 8900
SG, Kevin Martin, 9.1512, 3900
SF, Marcus Morris, 21.865499999999997, 5200
PF, Patrick Patterson, 15.477999999999998, 3600
PF, Luis Scola, 21.3846, 4400
C, Ian Mahinmi, 21.2638, 5000
PF, Dirk Nowitzki, 26.982199999999995, 6900
SF, Jeremy Evans, 3.9176999999999995, 3500
PG, Devin Harris, 13.8376, 3600
SF, Gordon Hayward, 31.4931, 7600
C, Enes Kanter, 22.967399999999998, 4800
SF, C.J. Miles, 20.7345, 4400
C, Cole Aldrich, 11.086599999999999, 4000
C, Nick Collison, 4.841799999999999, 3500
SF, Kevin Durant, 42.8333, 9900
PF, Serge Ibaka, 28.586399999999998, 6500
PG, Reggie Jackson, 28.9437, 7200
C, Kendrick Perkins, 5.9899, 3500
SG, Raymond Felton, 20.075699999999998, 4800
SF, Wesley Matthews, 21.6775, 5100
SF, Bojan Bogdanovic, 21.1038, 4400
SG, Wayne Ellington, 16.659799999999997, 3800
PF, Kevin Love, 33.1286, 7400
SF, Chandler Parsons, 21.740299999999998, 5100
PG, Ricky Rubio, 32.6019, 7600
PF, Anthony Tolliver, 12.607199999999999, 3600
SF, Derrick Williams, 14.313299999999998, 3800
SG, Arron Afflalo, 20.865899999999996, 4600
PF, Kenneth Faried, 28.7995, 6500
SF, Danilo Gallinari, 29.683999999999997, 7100
PG, Andre Miller, 9.635099999999998, 3500
C, Timofey Mozgov, 13.2519, 3500
SG, Tyreke Evans, 32.810199999999995, 7500
PG, Isaiah Thomas, 33.8793, 8100
C, Hassan Whiteside, 31.266499999999997, 7600
