position, player, projection, salary
C, Matt Bonner, 2.236, 3500
C, Tim Duncan, 25.812, 6000
SG, Manu Ginobili, 20.316, 4600
SG, Danny Green, 14.704000000000002, 3800
SF, Richard Jefferson, 4.28, 3500
PG, Cory Joseph, 14.484000000000002, 3700
SF, Kawhi Leonard, 35.564, 8500
PG, Chris Paul, 36.632000000000005, 9000
PF, Jason Smith, 4.808, 3500
SF, Tony Allen, 16.240000000000002, 3900
PF, Darrell Arthur, 9.252, 3500
PG, Mike Conley, 30.576, 6500
C, Marc Gasol, 33.6, 7800
PF, Zach Randolph, 27.288000000000004, 6500
SF, Chase Budinger, 9.468, 3500
PG, Goran Dragic, 26.564, 5800
PF, Jordan Hill, 18.664, 4800
SG, Courtney Lee, 17.364, 4400
PG, Kyle Lowry, 39.844, 8900
SG, Kevin Martin, 8.676, 3900
SF, Marcus Morris, 22.14, 5200
PF, Patrick Patterson, 15.64, 3600
PF, Luis Scola, 21.408, 4400
C, Ian Mahinmi, 21.424000000000003, 5000
PF, Dirk Nowitzki, 27.056, 6900
SF, Jeremy Evans, 3.9960000000000004, 3500
PG, Devin Harris, 14.248000000000001, 3600
SF, Gordon Hayward, 31.188000000000002, 7600
C, Enes Kanter, 23.052, 4800
SF, C.J. Miles, 20.46, 4400
C, Cole Aldrich, 9.868, 4000
C, Nick Collison, 5.164, 3500
SF, Kevin Durant, 42.584, 9900
PF, Serge Ibaka, 28.572000000000003, 6500
PG, Reggie Jackson, 29.076, 7200
C, Kendrick Perkins, 6.052000000000001, 3500
SG, Raymond Felton, 20.136000000000003, 4800
SF, Wesley Matthews, 21.700000000000003, 5100
SF, Bojan Bogdanovic, 20.724, 4400
SG, Wayne Ellington, 16.604000000000003, 3800
PF, Kevin Love, 33.728, 7400
SF, Chandler Parsons, 21.644000000000002, 5100
PG, Ricky Rubio, 32.412, 7600
PF, Anthony Tolliver, 12.456, 3600
SF, Derrick Williams, 13.884, 3800
SG, Arron Afflalo, 20.532, 4600
PF, Kenneth Faried, 28.660000000000004, 6500
SF, Danilo Gallinari, 29.720000000000002, 7100
PG, Andre Miller, 10.248000000000001, 3500
C, Timofey Mozgov, 13.512, 3500
SG, Tyreke Evans, 32.596, 7500
PG, Isaiah Thomas, 33.864000000000004, 8100
C, Hassan Whiteside, 30.92, 7600
SF, Vince Carter, 1.748, 3500
SF, Jared Dudley, 16.228, 3900
PF, Channing Frye, 12.376000000000001, 3500
C, Marcin Gortat, 29.804000000000002, 7000
C, Robin Lopez, 22.212000000000003, 4100
PF, Markieff Morris, 7.78, 4400
SF, Matt Barnes, 18.188000000000002, 5000
PG, Steve Blake, 7.7, 3500
SF, Al-Farouq Aminu, 21.224, 5100
SG, Randy Foye, 9.888, 3500
SG, Eric Gordon, 22.224, 4800
C, DeAndre Jordan, 34.716, 7900
C, Chris Kaman, 1.064, 3500
PG, Mo Williams, 6.688000000000001, 4200
C, Louis Amundson, 2.476, 3500
SG, Monta Ellis, 26.856, 6000
PF, David Lee, 15.752, 4100
PG, Jeremy Lin, 29.352000000000004, 5300
PF, Andrea Bargnani, 9.184, 3500
PG, Jose Calderon, 18.276, 4100
PF, Ed Davis, 15.876000000000003, 3800
SG, DeMar DeRozan, 33.932, 8200
C, Amir Johnson, 19.872000000000003, 4400
SF, James Johnson, 15.996000000000002, 3500
C, Jonas Valanciunas, 23.068, 5600
PF, Lavoy Allen, 13.808000000000002, 3600
PF, Spencer Hawes, 15.064000000000002, 3800
PG, Jrue Holiday, 25.764, 5600
SG, Evan Turner, 28.056, 5700
C, Nikola Vucevic, 32.288, 7500
PF, Thaddeus Young, 30.224000000000004, 7100
SF, Carmelo Anthony, 35.512, 8600
PG, Toney Douglas, 3.7800000000000002, 3500
SG, Iman Shumpert, 15.483999999999998, 4100
C, Brook Lopez, 35.984, 8500
SG, Anthony Morrow, 9.620000000000001, 3600
PG, Deron Williams, 25.476000000000003, 6200
PF, Kevin Garnett, 13.104, 3500
SF, Jeff Green, 19.984, 4800
SF, Paul Pierce, 12.732, 3900
PF, Tobias Harris, 25.576, 5900
PF, Ersan Ilyasova, 21.732000000000003, 5200
SG, Brandon Jennings, 18.128, 5500
PF, Jon Leuer, 19.816000000000003, 4400
PG, Beno Udrih, 3.504, 3500
SF, Paul George, 37.368, 8900
PG, George Hill, 25.900000000000002, 5600
SF, Lance Stephenson, 2.584, 3500
PF, Jonas Jerebko, 6.288, 3500
PG, Brandon Knight, 32.38, 6700
SF, Kyle Singler, 5.072000000000001, 3500
PG, Rodney Stuckey, 18.964000000000002, 4500
PF, Charlie Villanueva, 3.732, 3500
SF, Alonzo Gee, 6.000000000000001, 3500
PG, Kyrie Irving, 26.136, 7600
PG, Ramon Sessions, 20.872, 4300
PF, Tristan Thompson, 23.884000000000004, 4700
C, Anderson Varejao, 5.816000000000001, 3500
C, Omer Asik, 12.148, 3500
SF, Luol Deng, 19.784, 4400
PF, Trevor Booker, 18.768, 4300
C, JaVale McGee, 11.240000000000002, 3500
C, Kevin Seraphin, 3.152, 3500
PG, John Wall, 38.888, 9900
PF, Ryan Anderson, 24.544000000000004, 5700
PG, Jameer Nelson, 22.896, 5500
SG, J.J. Redick, 20.78, 5000
C, Joel Anthony, 2.2880000000000003, 3500
PF, Chris Bosh, 35.428000000000004, 7900
PG, Mario Chalmers, 17.396, 4300
PG, Norris Cole, 22.816, 4400
PF, Udonis Haslem, 2.14, 3500
SF, LeBron James, 43.032000000000004, 9700
SF, Mike Miller, 4.636000000000001, 3500
SG, Dwyane Wade, 29.888, 7300
PG, D.J. Augustin, 7.332000000000001, 3500
C, Bismack Biyombo, 16.96, 4800
SF, Dante Cunningham, 2.824, 3500
PF, Boris Diaw, 15.280000000000001, 4200
SG, Gerald Henderson, 10.628, 3500
PG, Kemba Walker, 40.012, 8700
SG, Joe Johnson, 20.628, 5200
C, Zaza Pachulia, 27.284000000000002, 6600
PF, Josh Smith, 10.180000000000001, 3500
PF, Marvin Williams, 21.288000000000004, 4700
PF, Nene Hilario, 8.776000000000002, 4100
C, Tyson Chandler, 18.704, 4000
PF, David West, 14, 3900
PG, Russell Westbrook, 46.94800000000001, 10700
SF, James Jones, 2.372, 3500
PF, Kris Humphries, 4.800000000000001, 3500
SG, J.R. Smith, 17.988000000000003, 4600
C, Alexis Ajinca, 8.856, 3500
