position, player, projection, salary
C, Matt Bonner, 1.7804, 3500
C, Tim Duncan, 24.186799999999998, 6000
SG, Manu Ginobili, 20.642400000000002, 4600
SG, Danny Green, 16.6556, 3800
SF, Richard Jefferson, 7.782, 3500
PG, Cory Joseph, 12.2876, 3700
SF, Kawhi Leonard, 32.1096, 8500
PG, Chris Paul, 38.644800000000004, 9000
PF, Jason Smith, 11.9412, 3500
SF, Tony Allen, 17.055999999999997, 3900
PF, Darrell Arthur, 11.502799999999999, 3500
PG, Mike Conley, 30.2564, 6500
C, Marc Gasol, 31.9, 7800
PF, Zach Randolph, 30.1032, 6500
SF, Chase Budinger, 11.3652, 3500
PG, Goran Dragic, 25.999599999999997, 5800
PF, Jordan Hill, 19.2896, 4800
SG, Courtney Lee, 20.5396, 4400
PG, Kyle Lowry, 40.7416, 8900
SG, Kevin Martin, 12.2664, 3900
SF, Marcus Morris, 20.066, 5200
PF, Patrick Patterson, 14.415999999999999, 3600
PF, Luis Scola, 21.231199999999998, 4400
C, Ian Mahinmi, 20.2136, 5000
PF, Dirk Nowitzki, 26.4984, 6900
SF, Jeremy Evans, 3.4044, 3500
PG, Devin Harris, 11.1472, 3600
SF, Gordon Hayward, 33.493199999999995, 7600
C, Enes Kanter, 22.4128, 4800
SF, C.J. Miles, 22.534, 4400
C, Cole Aldrich, 19.075200000000002, 4000
C, Nick Collison, 2.7296, 3500
SF, Kevin Durant, 44.4676, 9900
PF, Serge Ibaka, 28.6808, 6500
PG, Reggie Jackson, 28.0764, 7200
C, Kendrick Perkins, 5.5828, 3500
SG, Raymond Felton, 19.680400000000002, 4800
SF, Wesley Matthews, 21.53, 5100
SF, Bojan Bogdanovic, 23.593600000000002, 4400
SG, Wayne Ellington, 17.0256, 3800
PF, Kevin Love, 29.199199999999998, 7400
SF, Chandler Parsons, 22.3716, 5100
PG, Ricky Rubio, 33.8468, 7600
PF, Anthony Tolliver, 13.5984, 3600
SF, Derrick Williams, 17.127599999999997, 3800
SG, Arron Afflalo, 23.0548, 4600
PF, Kenneth Faried, 29.714, 6500
SF, Danilo Gallinari, 29.448, 7100
PG, Andre Miller, 5.6172, 3500
C, Timofey Mozgov, 11.5468, 3500
SG, Tyreke Evans, 34.2144, 7500
PG, Isaiah Thomas, 33.979600000000005, 8100
C, Hassan Whiteside, 33.538000000000004, 7600
SF, Vince Carter, 3.5772, 3500
SF, Jared Dudley, 14.079199999999998, 3900
PF, Channing Frye, 12.5664, 3500
C, Marcin Gortat, 32.265600000000006, 7000
C, Robin Lopez, 25.5168, 4100
PF, Markieff Morris, 12.812, 4400
SF, Matt Barnes, 18.7932, 5000
PG, Steve Blake, 11.95, 3500
SF, Al-Farouq Aminu, 20.6936, 5100
SG, Randy Foye, 10.8332, 3500
SG, Eric Gordon, 19.9936, 4800
C, DeAndre Jordan, 37.2524, 7900
C, Chris Kaman, 0.8396, 3500
PG, Mo Williams, 8.1432, 4200
C, Louis Amundson, 4.876399999999999, 3500
SG, Monta Ellis, 27.9984, 6000
PF, David Lee, 18.172800000000002, 4100
PG, Jeremy Lin, 25.3128, 5300
PF, Andrea Bargnani, 4.6076, 3500
PG, Jose Calderon, 19.6564, 4100
PF, Ed Davis, 12.4964, 3800
SG, DeMar DeRozan, 35.6048, 8200
C, Amir Johnson, 20.4908, 4400
SF, James Johnson, 11.1544, 3500
C, Jonas Valanciunas, 23.2652, 5600
PF, Lavoy Allen, 15.1612, 3600
PF, Spencer Hawes, 14.8396, 3800
PG, Jrue Holiday, 22.1396, 5600
SG, Evan Turner, 26.9884, 5700
C, Nikola Vucevic, 28.473200000000002, 7500
PF, Thaddeus Young, 33.0936, 7100
SF, Carmelo Anthony, 38.8168, 8600
PG, Toney Douglas, 2.862, 3500
SG, Iman Shumpert, 13.4576, 4100
C, Brook Lopez, 42.2876, 8500
SG, Anthony Morrow, 12.238, 3600
PG, Deron Williams, 18.5264, 6200
PF, Kevin Garnett, 13.355599999999999, 3500
SF, Jeff Green, 21.6976, 4800
SF, Paul Pierce, 16.9548, 3900
PF, Tobias Harris, 23.726399999999998, 5900
PF, Ersan Ilyasova, 23.7448, 5200
SG, Brandon Jennings, 14.6192, 5500
PF, Jon Leuer, 19.1224, 4400
PG, Beno Udrih, 6.9856, 3500
SF, Paul George, 38.925200000000004, 8900
PG, George Hill, 26.58, 5600
SF, Lance Stephenson, 4.977600000000001, 3500
PF, Jonas Jerebko, 8.423200000000001, 3500
PG, Brandon Knight, 29.592, 6700
SF, Kyle Singler, 6.200800000000001, 3500
PG, Rodney Stuckey, 17.2096, 4500
PF, Charlie Villanueva, 7.2748, 3500
SF, Alonzo Gee, 6.85, 3500
PG, Kyrie Irving, 24.6604, 7600
PG, Ramon Sessions, 22.3408, 4300
PF, Tristan Thompson, 21.6876, 4700
C, Anderson Varejao, 5.6324, 3500
C, Omer Asik, 10.4072, 3500
SF, Luol Deng, 17.7576, 4400
PF, Trevor Booker, 18.9652, 4300
C, JaVale McGee, 7.295999999999999, 3500
C, Kevin Seraphin, 5.5728, 3500
PG, John Wall, 43.57319999999999, 9900
PF, Ryan Anderson, 23.2316, 5700
PG, Jameer Nelson, 29.6144, 5500
SG, J.J. Redick, 14.761999999999999, 5000
C, Joel Anthony, 2.8932, 3500
PF, Chris Bosh, 37.529199999999996, 7900
PG, Mario Chalmers, 18.8444, 4300
PG, Norris Cole, 23.9924, 4400
PF, Udonis Haslem, 3.8059999999999996, 3500
SF, LeBron James, 37.0548, 9700
SF, Mike Miller, 4.8604, 3500
SG, Dwyane Wade, 30.8332, 7300
PG, D.J. Augustin, 6.114800000000001, 3500
C, Bismack Biyombo, 18.014, 4800
SF, Dante Cunningham, 2.9736000000000002, 3500
PF, Boris Diaw, 20.652, 4200
SG, Gerald Henderson, 11.0292, 3500
PG, Kemba Walker, 44.6768, 8700
SG, Joe Johnson, 18.819200000000002, 5200
C, Zaza Pachulia, 32.2276, 6600
PF, Josh Smith, 8.922, 3500
PF, Marvin Williams, 19.1732, 4700
PF, Nene Hilario, 1.3164, 4100
C, Tyson Chandler, 17.9356, 4000
PF, David West, 18.59, 3900
PG, Russell Westbrook, 49.9672, 10700
SF, James Jones, 6.7307999999999995, 3500
PF, Kris Humphries, 11.089999999999998, 3500
SG, J.R. Smith, 18.0832, 4600
C, Alexis Ajinca, 8.1284, 3500
PG, Patrick Mills, 2.2284, 3800
SG, Garrett Temple, 16.8748, 4200
SG, Jamal Crawford, 17.4708, 3800
SG, Sasha Vujacic, 2.1624, 3500
SF, Tayshaun Prince, 11.7612, 3500
PG, Ronnie Price, 15.5076, 3600
SF, Wesley Johnson, 16.4664, 3700
PG, Sonny Weems, 4.2136, 3500
C, Amar'e Stoudemire, 9.005600000000001, 3500
PF, Lance Thomas, 11.814, 4000
SF, Gerald Green, 16.9464, 3800
SF, P.J. Tucker, 17.6492, 4300
PG, Donald Sloan, 11.7716, 3500
PF, Andrew Nicholson, 13.5736, 3600
SF, Will Barton, 34.0376, 7300
PG, Jared Cunningham, 4.354, 3500
PF, Mirza Teletovic, 17.6664, 3900
PG, Brian Roberts, 7.6932, 3500
PG, Pablo Prigioni, 7.4612, 3500
SF, Maurice Harkless, 17.1096, 3600
PF, Kyle O'Quinn, 11.3412, 3800
SG, John Jenkins, 4.1556, 3500
SG, Jeremy Lamb, 21.71, 4500
SF, Jae Crowder, 30.2212, 6200
SF, Evan Fournier, 19.2636, 5000
SG, Dion Waiters, 13.9032, 4000
C, Tyler Zeller, 5.7416, 3500
C, Thomas Robinson, 5.9172, 3500
PF, Jared Sullinger, 19.264, 5600
PG, Austin Rivers, 16.5344, 4000
C, Andre Drummond, 39.046400000000006, 9200
SF, Terrence Ross, 14.8704, 3900
PF, Meyers Leonard, 18.5096, 4000
PG, Damian Lillard, 34.614, 8800
PF, Anthony Davis, 45.166, 10200
C, Aron Baynes, 11.9712, 3700
SG, Victor Oladipo, 23.779200000000003, 5700
SF, Otto Porter, 28.938, 5900
C, Cody Zeller, 25.159200000000002, 4700
C, Alex Len, 10.482399999999998, 4300
SG, Kentavious Caldwell-Pope, 24.6204, 5900
PG, Trey Burke, 24.7436, 4900
SG, C.J. McCollum, 32.489599999999996, 8200
C, Steven Adams, 18.9652, 4200
C, Kelly Olynyk, 19.3012, 4300
SG, Shabazz Muhammad, 16.4704, 3900
PG, Shane Larkin, 13.887599999999999, 4300
PF, Gorgui Dieng, 21.4532, 5000
C, Mason Plumlee, 17.7416, 5000
SF, Solomon Hill, 12.717200000000002, 3500
SG, Andre Roberson, 13.6644, 3500
SG, Archie Goodwin, 7.89, 3500
SG, Allen Crabbe, 21.1916, 4600
C, Jeff Withey, 29.6828, 4700
PG, Raul Neto, 8.619200000000001, 3500
C, Joffrey Lauvergne, 16.9688, 3900
PG, Matthew Dellavedova, 17.7284, 4400
C, Dewayne Dedmon, 5.7152, 3500
SF, Andrew Wiggins, 29.3632, 6600
SF, Aaron Gordon, 16.7808, 3600
PG, Marcus Smart, 13.4836, 4800
PF, Noah Vonleh, 12.834, 3500
PG, Zach LaVine, 11.4772, 4300
SF, T.J. Warren, 13.3132, 4300
PF, Adreian Payne, 6.710000000000001, 3500
C, Jusuf Nurkic, 6.3656, 3900
SG, Gary Harris, 21.9848, 4300
SG, Rodney Hood, 29.748, 5600
PG, Shabazz Napier, 8.7132, 3500
SG, P.J. Hairston, 6.368, 3500
SF, Kyle Anderson, 6.6988, 3500
PF, Glenn Robinson III, 2.75, 3500
SG, Markel Brown, 1.8036, 3500
PF, Dwight Powell, 11.9836, 3500
SF, Kostas Papanikolaou, 6.33, 3500
SF, Joe Ingles, 7.7316, 3500
SG, Elijah Millsap, 5.8591999999999995, 3500
PG, Langston Galloway, 11.270400000000002, 3900
PG, Tyler Johnson, 18.098, 4000
PF, JaMychal Green, 10.8768, 3500
