position, player, projection, salary
C, Matt Bonner, 2.303, 3500
C, Tim Duncan, 26.051000000000002, 6000
SG, Manu Ginobili, 20.268, 4600
SG, Danny Green, 14.417000000000002, 3800
SF, Richard Jefferson, 3.7650000000000006, 3500
PG, Cory Joseph, 14.807, 3700
SF, Kawhi Leonard, 36.071999999999996, 8500
PG, Chris Paul, 36.336, 9000
PF, Jason Smith, 3.7590000000000003, 3500
SF, Tony Allen, 16.12, 3900
PF, Darrell Arthur, 8.921, 3500
PG, Mike Conley, 30.623, 6500
C, Marc Gasol, 33.85, 7800
PF, Zach Randolph, 26.874000000000002, 6500
SF, Chase Budinger, 9.189, 3500
PG, Goran Dragic, 26.647000000000002, 5800
PF, Jordan Hill, 18.572000000000003, 4800
SG, Courtney Lee, 16.897000000000002, 4400
PG, Kyle Lowry, 39.712, 8900
SG, Kevin Martin, 8.148, 3900
SF, Marcus Morris, 22.445, 5200
PF, Patrick Patterson, 15.82, 3600
PF, Luis Scola, 21.434, 4400
C, Ian Mahinmi, 21.602, 5000
PF, Dirk Nowitzki, 27.138, 6900
SF, Jeremy Evans, 4.083, 3500
PG, Devin Harris, 14.704, 3600
SF, Gordon Hayward, 30.849000000000004, 7600
C, Enes Kanter, 23.146, 4800
SF, C.J. Miles, 20.155, 4400
C, Cole Aldrich, 8.514, 4000
C, Nick Collison, 5.522, 3500
SF, Kevin Durant, 42.307, 9900
PF, Serge Ibaka, 28.556, 6500
PG, Reggie Jackson, 29.223, 7200
C, Kendrick Perkins, 6.121, 3500
SG, Raymond Felton, 20.203, 4800
SF, Wesley Matthews, 21.724999999999998, 5100
SF, Bojan Bogdanovic, 20.302, 4400
SG, Wayne Ellington, 16.542, 3800
PF, Kevin Love, 34.394000000000005, 7400
SF, Chandler Parsons, 21.537, 5100
PG, Ricky Rubio, 32.201, 7600
PF, Anthony Tolliver, 12.288, 3600
SF, Derrick Williams, 13.407, 3800
SG, Arron Afflalo, 20.161, 4600
PF, Kenneth Faried, 28.505000000000003, 6500
SF, Danilo Gallinari, 29.76, 7100
PG, Andre Miller, 10.929, 3500
C, Timofey Mozgov, 13.801, 3500
SG, Tyreke Evans, 32.358, 7500
PG, Isaiah Thomas, 33.847, 8100
C, Hassan Whiteside, 30.534999999999997, 7600
SF, Vince Carter, 1.479, 3500
SF, Jared Dudley, 16.544, 3900
PF, Channing Frye, 12.348, 3500
C, Marcin Gortat, 29.442, 7000
C, Robin Lopez, 21.726, 4100
PF, Markieff Morris, 7.04, 4400
SF, Matt Barnes, 18.099000000000004, 5000
PG, Steve Blake, 7.075000000000001, 3500
SF, Al-Farouq Aminu, 21.302, 5100
SG, Randy Foye, 9.748999999999999, 3500
SG, Eric Gordon, 22.552, 4800
C, DeAndre Jordan, 34.343, 7900
C, Chris Kaman, 1.097, 3500
PG, Mo Williams, 6.474, 4200
C, Louis Amundson, 2.123, 3500
SG, Monta Ellis, 26.688, 6000
PF, David Lee, 15.396, 4100
PG, Jeremy Lin, 29.946, 5300
PF, Andrea Bargnani, 9.857000000000001, 3500
PG, Jose Calderon, 18.073, 4100
PF, Ed Davis, 16.373, 3800
SG, DeMar DeRozan, 33.686, 8200
C, Amir Johnson, 19.781, 4400
SF, James Johnson, 16.708000000000002, 3500
C, Jonas Valanciunas, 23.039, 5600
PF, Lavoy Allen, 13.609000000000002, 3600
PF, Spencer Hawes, 15.097000000000001, 3800
PG, Jrue Holiday, 26.296999999999997, 5600
SG, Evan Turner, 28.213, 5700
C, Nikola Vucevic, 32.849, 7500
PF, Thaddeus Young, 29.802, 7100
SF, Carmelo Anthony, 35.025999999999996, 8600
PG, Toney Douglas, 3.915, 3500
