position, player, projection, salary
C, Matt Bonner, 2.169, 3500
C, Tim Duncan, 25.572999999999997, 6000
SG, Manu Ginobili, 20.363999999999997, 4600
SG, Danny Green, 14.991, 3800
SF, Richard Jefferson, 4.795, 3500
PG, Cory Joseph, 14.161, 3700
SF, Kawhi Leonard, 35.056, 8500
PG, Chris Paul, 36.928, 9000
PF, Jason Smith, 5.856999999999999, 3500
SF, Tony Allen, 16.36, 3900
PF, Darrell Arthur, 9.583, 3500
PG, Mike Conley, 30.529, 6500
C, Marc Gasol, 33.35, 7800
PF, Zach Randolph, 27.701999999999998, 6500
SF, Chase Budinger, 9.747, 3500
PG, Goran Dragic, 26.480999999999998, 5800
PF, Jordan Hill, 18.756, 4800
SG, Courtney Lee, 17.831, 4400
PG, Kyle Lowry, 39.976, 8900
SG, Kevin Martin, 9.204, 3900
SF, Marcus Morris, 21.834999999999997, 5200
PF, Patrick Patterson, 15.459999999999999, 3600
PF, Luis Scola, 21.381999999999998, 4400
C, Ian Mahinmi, 21.246000000000002, 5000
PF, Dirk Nowitzki, 26.973999999999997, 6900
SF, Jeremy Evans, 3.9089999999999994, 3500
PG, Devin Harris, 13.792, 3600
SF, Gordon Hayward, 31.527, 7600
C, Enes Kanter, 22.958, 4800
SF, C.J. Miles, 20.765, 4400
C, Cole Aldrich, 11.222, 4000
C, Nick Collison, 4.805999999999999, 3500
SF, Kevin Durant, 42.861, 9900
PF, Serge Ibaka, 28.587999999999997, 6500
PG, Reggie Jackson, 28.929000000000002, 7200
C, Kendrick Perkins, 5.9830000000000005, 3500
SG, Raymond Felton, 20.069, 4800
SF, Wesley Matthews, 21.675, 5100
SF, Bojan Bogdanovic, 21.146, 4400
SG, Wayne Ellington, 16.666, 3800
PF, Kevin Love, 33.062, 7400
SF, Chandler Parsons, 21.750999999999998, 5100
PG, Ricky Rubio, 32.623, 7600
PF, Anthony Tolliver, 12.623999999999999, 3600
SF, Derrick Williams, 14.360999999999997, 3800
SG, Arron Afflalo, 20.903, 4600
PF, Kenneth Faried, 28.814999999999998, 6500
SF, Danilo Gallinari, 29.68, 7100
PG, Andre Miller, 9.566999999999998, 3500
C, Timofey Mozgov, 13.222999999999999, 3500
SG, Tyreke Evans, 32.833999999999996, 7500
PG, Isaiah Thomas, 33.881, 8100
C, Hassan Whiteside, 31.304999999999996, 7600
SF, Vince Carter, 2.017, 3500
SF, Jared Dudley, 15.911999999999999, 3900
PF, Channing Frye, 12.403999999999998, 3500
C, Marcin Gortat, 30.165999999999997, 7000
C, Robin Lopez, 22.698, 4100
PF, Markieff Morris, 8.52, 4400
SF, Matt Barnes, 18.277, 5000
PG, Steve Blake, 8.325, 3500
SF, Al-Farouq Aminu, 21.145999999999997, 5100
SG, Randy Foye, 10.027, 3500
SG, Eric Gordon, 21.895999999999997, 4800
C, DeAndre Jordan, 35.089, 7900
C, Chris Kaman, 1.031, 3500
PG, Mo Williams, 6.901999999999999, 4200
C, Louis Amundson, 2.8289999999999997, 3500
