position, player, projection, salary
C, Matt Bonner, 1.9546000000000001, 3500
C, Tim Duncan, 24.8082, 6000
SG, Manu Ginobili, 20.517599999999998, 4600
SG, Danny Green, 15.9094, 3800
SF, Richard Jefferson, 6.4430000000000005, 3500
PG, Cory Joseph, 13.127400000000002, 3700
SF, Kawhi Leonard, 33.4304, 8500
PG, Chris Paul, 37.8752, 9000
PF, Jason Smith, 9.213799999999999, 3500
SF, Tony Allen, 16.744, 3900
PF, Darrell Arthur, 10.642199999999999, 3500
PG, Mike Conley, 30.3786, 6500
C, Marc Gasol, 32.550000000000004, 7800
PF, Zach Randolph, 29.0268, 6500
SF, Chase Budinger, 10.6398, 3500
PG, Goran Dragic, 26.215400000000002, 5800
PF, Jordan Hill, 19.0504, 4800
SG, Courtney Lee, 19.325400000000002, 4400
PG, Kyle Lowry, 40.3984, 8900
SG, Kevin Martin, 10.8936, 3900
SF, Marcus Morris, 20.858999999999998, 5200
PF, Patrick Patterson, 14.884, 3600
PF, Luis Scola, 21.2988, 4400
C, Ian Mahinmi, 20.6764, 5000
PF, Dirk Nowitzki, 26.711599999999997, 6900
SF, Jeremy Evans, 3.6306, 3500
PG, Devin Harris, 12.332799999999999, 3600
SF, Gordon Hayward, 32.6118, 7600
C, Enes Kanter, 22.6572, 4800
SF, C.J. Miles, 21.741, 4400
C, Cole Aldrich, 15.5548, 4000
C, Nick Collison, 3.6604, 3500
SF, Kevin Durant, 43.7474, 9900
PF, Serge Ibaka, 28.639200000000002, 6500
PG, Reggie Jackson, 28.458599999999997, 7200
C, Kendrick Perkins, 5.7622, 3500
SG, Raymond Felton, 19.8546, 4800
SF, Wesley Matthews, 21.595, 5100
SF, Bojan Bogdanovic, 22.4964, 4400
SG, Wayne Ellington, 16.8644, 3800
PF, Kevin Love, 30.9308, 7400
SF, Chandler Parsons, 22.0934, 5100
PG, Ricky Rubio, 33.2982, 7600
PF, Anthony Tolliver, 13.1616, 3600
SF, Derrick Williams, 15.8874, 3800
SG, Arron Afflalo, 22.0902, 4600
PF, Kenneth Faried, 29.311, 6500
SF, Danilo Gallinari, 29.552, 7100
PG, Andre Miller, 7.3877999999999995, 3500
C, Timofey Mozgov, 12.2982, 3500
SG, Tyreke Evans, 33.5956, 7500
PG, Isaiah Thomas, 33.9354, 8100
C, Hassan Whiteside, 32.537, 7600
SF, Vince Carter, 2.8778, 3500
SF, Jared Dudley, 14.9008, 3900
PF, Channing Frye, 12.4936, 3500
C, Marcin Gortat, 31.3244, 7000
C, Robin Lopez, 24.2532, 4100
PF, Markieff Morris, 10.888, 4400
SF, Matt Barnes, 18.561799999999998, 5000
PG, Steve Blake, 10.325, 3500
SF, Al-Farouq Aminu, 20.8964, 5100
SG, Randy Foye, 10.4718, 3500
SG, Eric Gordon, 20.846400000000003, 4800
C, DeAndre Jordan, 36.2826, 7900
C, Chris Kaman, 0.9254, 3500
PG, Mo Williams, 7.5868, 4200
