position, player, projection, salary
C, Matt Bonner, 1.8072, 3500
C, Tim Duncan, 24.282399999999996, 6000
SG, Manu Ginobili, 20.623199999999997, 4600
SG, Danny Green, 16.5408, 3800
SF, Richard Jefferson, 7.5760000000000005, 3500
PG, Cory Joseph, 12.4168, 3700
SF, Kawhi Leonard, 32.312799999999996, 8500
PG, Chris Paul, 38.526399999999995, 9000
PF, Jason Smith, 11.5216, 3500
SF, Tony Allen, 17.008, 3900
PF, Darrell Arthur, 11.3704, 3500
PG, Mike Conley, 30.275199999999998, 6500
C, Marc Gasol, 32, 7800
PF, Zach Randolph, 29.9376, 6500
SF, Chase Budinger, 11.253599999999999, 3500
PG, Goran Dragic, 26.032799999999998, 5800
PF, Jordan Hill, 19.2528, 4800
SG, Courtney Lee, 20.352800000000002, 4400
PG, Kyle Lowry, 40.68879999999999, 8900
SG, Kevin Martin, 12.055200000000001, 3900
SF, Marcus Morris, 20.188, 5200
PF, Patrick Patterson, 14.488, 3600
PF, Luis Scola, 21.2416, 4400
C, Ian Mahinmi, 20.2848, 5000
PF, Dirk Nowitzki, 26.5312, 6900
SF, Jeremy Evans, 3.4391999999999996, 3500
PG, Devin Harris, 11.3296, 3600
SF, Gordon Hayward, 33.3576, 7600
C, Enes Kanter, 22.4504, 4800
SF, C.J. Miles, 22.412, 4400
C, Cole Aldrich, 18.5336, 4000
C, Nick Collison, 2.8728, 3500
SF, Kevin Durant, 44.3568, 9900
PF, Serge Ibaka, 28.6744, 6500
PG, Reggie Jackson, 28.135199999999998, 7200
C, Kendrick Perkins, 5.6104, 3500
SG, Raymond Felton, 19.7072, 4800
SF, Wesley Matthews, 21.54, 5100
SF, Bojan Bogdanovic, 23.4248, 4400
SG, Wayne Ellington, 17.0008, 3800
PF, Kevin Love, 29.4656, 7400
SF, Chandler Parsons, 22.328799999999998, 5100
PG, Ricky Rubio, 33.7624, 7600
PF, Anthony Tolliver, 13.5312, 3600
SF, Derrick Williams, 16.936799999999998, 3800
SG, Arron Afflalo, 22.906399999999998, 4600
PF, Kenneth Faried, 29.651999999999997, 6500
SF, Danilo Gallinari, 29.464, 7100
PG, Andre Miller, 5.8896, 3500
C, Timofey Mozgov, 11.6624, 3500
SG, Tyreke Evans, 34.1192, 7500
PG, Isaiah Thomas, 33.9728, 8100
C, Hassan Whiteside, 33.384, 7600
SF, Vince Carter, 3.4696, 3500
SF, Jared Dudley, 14.205599999999999, 3900
PF, Channing Frye, 12.5552, 3500
C, Marcin Gortat, 32.1208, 7000
C, Robin Lopez, 25.3224, 4100
PF, Markieff Morris, 12.515999999999998, 4400
SF, Matt Barnes, 18.757599999999996, 5000
PG, Steve Blake, 11.7, 3500
SF, Al-Farouq Aminu, 20.724800000000002, 5100
SG, Randy Foye, 10.7776, 3500
SG, Eric Gordon, 20.1248, 4800
C, DeAndre Jordan, 37.1032, 7900
C, Chris Kaman, 0.8528, 3500
PG, Mo Williams, 8.0576, 4200
C, Louis Amundson, 4.7352, 3500
SG, Monta Ellis, 27.931199999999997, 6000
PF, David Lee, 18.0304, 4100
PG, Jeremy Lin, 25.550400000000003, 5300
PF, Andrea Bargnani, 4.876799999999999, 3500
PG, Jose Calderon, 19.5752, 4100
PF, Ed Davis, 12.6952, 3800
SG, DeMar DeRozan, 35.5064, 8200
C, Amir Johnson, 20.454400000000003, 4400
SF, James Johnson, 11.439200000000001, 3500
C, Jonas Valanciunas, 23.2536, 5600
PF, Lavoy Allen, 15.0816, 3600
PF, Spencer Hawes, 14.8528, 3800
PG, Jrue Holiday, 22.3528, 5600
SG, Evan Turner, 27.0512, 5700
C, Nikola Vucevic, 28.6976, 7500
PF, Thaddeus Young, 32.9248, 7100
SF, Carmelo Anthony, 38.6224, 8600
PG, Toney Douglas, 2.9160000000000004, 3500
SG, Iman Shumpert, 13.576799999999999, 4100
C, Brook Lopez, 41.916799999999995, 8500
SG, Anthony Morrow, 12.084, 3600
PG, Deron Williams, 18.935200000000002, 6200
PF, Kevin Garnett, 13.3408, 3500
SF, Jeff Green, 21.5968, 4800
SF, Paul Pierce, 16.7064, 3900
PF, Tobias Harris, 23.8352, 5900
PF, Ersan Ilyasova, 23.6264, 5200
SG, Brandon Jennings, 14.8256, 5500
PF, Jon Leuer, 19.1632, 4400
PG, Beno Udrih, 6.780799999999999, 3500
SF, Paul George, 38.833600000000004, 8900
PG, George Hill, 26.54, 5600
SF, Lance Stephenson, 4.8368, 3500
PF, Jonas Jerebko, 8.297600000000001, 3500
PG, Brandon Knight, 29.756, 6700
SF, Kyle Singler, 6.1344, 3500
PG, Rodney Stuckey, 17.3128, 4500
PF, Charlie Villanueva, 7.0664, 3500
SF, Alonzo Gee, 6.8, 3500
PG, Kyrie Irving, 24.7472, 7600
PG, Ramon Sessions, 22.254400000000004, 4300
PF, Tristan Thompson, 21.8168, 4700
C, Anderson Varejao, 5.6432, 3500
C, Omer Asik, 10.509599999999999, 3500
SF, Luol Deng, 17.876799999999996, 4400
PF, Trevor Booker, 18.953599999999998, 4300
C, JaVale McGee, 7.528, 3500
C, Kevin Seraphin, 5.4304, 3500
PG, John Wall, 43.2976, 9900
PF, Ryan Anderson, 23.3088, 5700
PG, Jameer Nelson, 29.2192, 5500
SG, J.J. Redick, 15.116, 5000
C, Joel Anthony, 2.8576, 3500
PF, Chris Bosh, 37.4056, 7900
PG, Mario Chalmers, 18.7592, 4300
PG, Norris Cole, 23.923199999999998, 4400
PF, Udonis Haslem, 3.7079999999999993, 3500
SF, LeBron James, 37.4064, 9700
SF, Mike Miller, 4.847200000000001, 3500
SG, Dwyane Wade, 30.7776, 7300
PG, D.J. Augustin, 6.186400000000001, 3500
C, Bismack Biyombo, 17.951999999999998, 4800
SF, Dante Cunningham, 2.9648, 3500
PF, Boris Diaw, 20.336000000000002, 4200
SG, Gerald Henderson, 11.0056, 3500
PG, Kemba Walker, 44.4024, 8700
SG, Joe Johnson, 18.9256, 5200
C, Zaza Pachulia, 31.936799999999998, 6600
PF, Josh Smith, 8.995999999999999, 3500
PF, Marvin Williams, 19.2976, 4700
PF, Nene Hilario, 1.7552, 4100
C, Tyson Chandler, 17.9808, 4000
PF, David West, 18.32, 3900
PG, Russell Westbrook, 49.7896, 10700
SF, James Jones, 6.4744, 3500
PF, Kris Humphries, 10.719999999999999, 3500
SG, J.R. Smith, 18.0776, 4600
C, Alexis Ajinca, 8.171199999999999, 3500
PG, Patrick Mills, 2.9712, 3800
