position, player, projection, salary
C, Matt Bonner, 2.1221, 3500
C, Tim Duncan, 25.4057, 6000
SG, Manu Ginobili, 20.3976, 4600
SG, Danny Green, 15.1919, 3800
SF, Richard Jefferson, 5.1555, 3500
PG, Cory Joseph, 13.9349, 3700
SF, Kawhi Leonard, 34.7004, 8500
PG, Chris Paul, 37.1352, 9000
PF, Jason Smith, 6.5912999999999995, 3500
SF, Tony Allen, 16.444, 3900
PF, Darrell Arthur, 9.8147, 3500
PG, Mike Conley, 30.496100000000002, 6500
C, Marc Gasol, 33.175, 7800
PF, Zach Randolph, 27.991800000000005, 6500
SF, Chase Budinger, 9.9423, 3500
PG, Goran Dragic, 26.4229, 5800
PF, Jordan Hill, 18.8204, 4800
SG, Courtney Lee, 18.157899999999998, 4400
PG, Kyle Lowry, 40.0684, 8900
SG, Kevin Martin, 9.573599999999999, 3900
SF, Marcus Morris, 21.621499999999997, 5200
PF, Patrick Patterson, 15.334, 3600
PF, Luis Scola, 21.363799999999998, 4400
C, Ian Mahinmi, 21.1214, 5000
PF, Dirk Nowitzki, 26.916599999999995, 6900
SF, Jeremy Evans, 3.8480999999999996, 3500
PG, Devin Harris, 13.4728, 3600
SF, Gordon Hayward, 31.7643, 7600
C, Enes Kanter, 22.8922, 4800
SF, C.J. Miles, 20.9785, 4400
C, Cole Aldrich, 12.169799999999999, 4000
C, Nick Collison, 4.555400000000001, 3500
SF, Kevin Durant, 43.0549, 9900
PF, Serge Ibaka, 28.5992, 6500
PG, Reggie Jackson, 28.826099999999997, 7200
C, Kendrick Perkins, 5.9347, 3500
SG, Raymond Felton, 20.022100000000002, 4800
SF, Wesley Matthews, 21.6575, 5100
SF, Bojan Bogdanovic, 21.4414, 4400
SG, Wayne Ellington, 16.709400000000002, 3800
PF, Kevin Love, 32.5958, 7400
SF, Chandler Parsons, 21.825899999999997, 5100
PG, Ricky Rubio, 32.770700000000005, 7600
PF, Anthony Tolliver, 12.741599999999998, 3600
SF, Derrick Williams, 14.694899999999999, 3800
SG, Arron Afflalo, 21.1627, 4600
PF, Kenneth Faried, 28.9235, 6500
SF, Danilo Gallinari, 29.652, 7100
PG, Andre Miller, 9.0903, 3500
C, Timofey Mozgov, 13.0207, 3500
SG, Tyreke Evans, 33.0006, 7500
PG, Isaiah Thomas, 33.8929, 8100
C, Hassan Whiteside, 31.5745, 7600
SF, Vince Carter, 2.2053000000000003, 3500
SF, Jared Dudley, 15.6908, 3900
PF, Channing Frye, 12.4236, 3500
C, Marcin Gortat, 30.4194, 7000
C, Robin Lopez, 23.0382, 4100
PF, Markieff Morris, 9.038, 4400
SF, Matt Barnes, 18.3393, 5000
PG, Steve Blake, 8.7625, 3500
SF, Al-Farouq Aminu, 21.0914, 5100
SG, Randy Foye, 10.1243, 3500
SG, Eric Gordon, 21.6664, 4800
C, DeAndre Jordan, 35.3501, 7900
C, Chris Kaman, 1.0079, 3500
PG, Mo Williams, 7.0518, 4200
C, Louis Amundson, 3.0761, 3500
SG, Monta Ellis, 27.141599999999997, 6000
PF, David Lee, 16.3572, 4100
PG, Jeremy Lin, 28.3422, 5300
PF, Andrea Bargnani, 8.0399, 3500
PG, Jose Calderon, 18.6211, 4100
PF, Ed Davis, 15.0311, 3800
SG, DeMar DeRozan, 34.3502, 8200
C, Amir Johnson, 20.0267, 4400
SF, James Johnson, 14.7856, 3500
C, Jonas Valanciunas, 23.1173, 5600
PF, Lavoy Allen, 14.1463, 3600
PF, Spencer Hawes, 15.0079, 3800
PG, Jrue Holiday, 24.8579, 5600
SG, Evan Turner, 27.7891, 5700
C, Nikola Vucevic, 31.3343, 7500
PF, Thaddeus Young, 30.9414, 7100
SF, Carmelo Anthony, 36.3382, 8600
PG, Toney Douglas, 3.5505, 3500
SG, Iman Shumpert, 14.9774, 4100
C, Brook Lopez, 37.5599, 8500
SG, Anthony Morrow, 10.2745, 3600
PG, Deron Williams, 23.738599999999998, 6200
PF, Kevin Garnett, 13.1669, 3500
SF, Jeff Green, 20.4124, 4800
SF, Paul Pierce, 13.787700000000001, 3900
PF, Tobias Harris, 25.113599999999998, 5900
PF, Ersan Ilyasova, 22.2352, 5200
SG, Brandon Jennings, 17.250799999999998, 5500
PF, Jon Leuer, 19.6426, 4400
PG, Beno Udrih, 4.3744, 3500
SF, Paul George, 37.7573, 8900
PG, George Hill, 26.07, 5600
SF, Lance Stephenson, 3.1824, 3500
PF, Jonas Jerebko, 6.8218000000000005, 3500
PG, Brandon Knight, 31.683, 6700
SF, Kyle Singler, 5.3542000000000005, 3500
PG, Rodney Stuckey, 18.5254, 4500
PF, Charlie Villanueva, 4.6177, 3500
SF, Alonzo Gee, 6.2125, 3500
PG, Kyrie Irving, 25.7671, 7600
PG, Ramon Sessions, 21.2392, 4300
PF, Tristan Thompson, 23.3349, 4700
C, Anderson Varejao, 5.7701, 3500
C, Omer Asik, 11.7128, 3500
SF, Luol Deng, 19.2774, 4400
PF, Trevor Booker, 18.8173, 4300
C, JaVale McGee, 10.254, 3500
C, Kevin Seraphin, 3.7571999999999997, 3500
PG, John Wall, 40.0593, 9900
PF, Ryan Anderson, 24.215899999999998, 5700
PG, Jameer Nelson, 24.5756, 5500
SG, J.J. Redick, 19.2755, 5000
C, Joel Anthony, 2.4393, 3500
PF, Chris Bosh, 35.9533, 7900
PG, Mario Chalmers, 17.7581, 4300
PG, Norris Cole, 23.110099999999996, 4400
PF, Udonis Haslem, 2.5564999999999998, 3500
SF, LeBron James, 41.5377, 9700
SF, Mike Miller, 4.6921, 3500
SG, Dwyane Wade, 30.124299999999998, 7300
PG, D.J. Augustin, 7.027700000000001, 3500
C, Bismack Biyombo, 17.2235, 4800
