position, player, projection, salary
C, Matt Bonner, 1.968, 3500
C, Tim Duncan, 24.855999999999998, 6000
SG, Manu Ginobili, 20.508, 4600
SG, Danny Green, 15.852, 3800
SF, Richard Jefferson, 6.34, 3500
PG, Cory Joseph, 13.192, 3700
SF, Kawhi Leonard, 33.532, 8500
PG, Chris Paul, 37.816, 9000
PF, Jason Smith, 9.004, 3500
SF, Tony Allen, 16.72, 3900
PF, Darrell Arthur, 10.576, 3500
PG, Mike Conley, 30.387999999999998, 6500
C, Marc Gasol, 32.6, 7800
PF, Zach Randolph, 28.944000000000003, 6500
SF, Chase Budinger, 10.584, 3500
PG, Goran Dragic, 26.232, 5800
PF, Jordan Hill, 19.032, 4800
SG, Courtney Lee, 19.232, 4400
PG, Kyle Lowry, 40.372, 8900
SG, Kevin Martin, 10.788, 3900
SF, Marcus Morris, 20.919999999999998, 5200
PF, Patrick Patterson, 14.92, 3600
PF, Luis Scola, 21.304000000000002, 4400
C, Ian Mahinmi, 20.712000000000003, 5000
PF, Dirk Nowitzki, 26.727999999999998, 6900
SF, Jeremy Evans, 3.6479999999999997, 3500
PG, Devin Harris, 12.424, 3600
SF, Gordon Hayward, 32.544, 7600
C, Enes Kanter, 22.676000000000002, 4800
SF, C.J. Miles, 21.68, 4400
C, Cole Aldrich, 15.284, 4000
C, Nick Collison, 3.7319999999999998, 3500
SF, Kevin Durant, 43.692, 9900
PF, Serge Ibaka, 28.636, 6500
PG, Reggie Jackson, 28.488, 7200
C, Kendrick Perkins, 5.776, 3500
SG, Raymond Felton, 19.868000000000002, 4800
SF, Wesley Matthews, 21.6, 5100
SF, Bojan Bogdanovic, 22.412, 4400
SG, Wayne Ellington, 16.852, 3800
PF, Kevin Love, 31.064, 7400
SF, Chandler Parsons, 22.072000000000003, 5100
PG, Ricky Rubio, 33.256, 7600
PF, Anthony Tolliver, 13.128, 3600
SF, Derrick Williams, 15.792, 3800
SG, Arron Afflalo, 22.016, 4600
PF, Kenneth Faried, 29.28, 6500
SF, Danilo Gallinari, 29.56, 7100
PG, Andre Miller, 7.524, 3500
C, Timofey Mozgov, 12.356, 3500
SG, Tyreke Evans, 33.548, 7500
PG, Isaiah Thomas, 33.932, 8100
C, Hassan Whiteside, 32.46, 7600
SF, Vince Carter, 2.824, 3500
SF, Jared Dudley, 14.963999999999999, 3900
PF, Channing Frye, 12.488, 3500
C, Marcin Gortat, 31.252000000000002, 7000
