position, player, projection, salary
C, Matt Bonner, 2.2896, 3500
C, Tim Duncan, 26.0032, 6000
SG, Manu Ginobili, 20.2776, 4600
SG, Danny Green, 14.4744, 3800
SF, Richard Jefferson, 3.868, 3500
PG, Cory Joseph, 14.7424, 3700
SF, Kawhi Leonard, 35.9704, 8500
PG, Chris Paul, 36.3952, 9000
PF, Jason Smith, 3.9688, 3500
SF, Tony Allen, 16.144, 3900
PF, Darrell Arthur, 8.9872, 3500
PG, Mike Conley, 30.6136, 6500
C, Marc Gasol, 33.800000000000004, 7800
PF, Zach Randolph, 26.9568, 6500
SF, Chase Budinger, 9.2448, 3500
PG, Goran Dragic, 26.6304, 5800
PF, Jordan Hill, 18.5904, 4800
SG, Courtney Lee, 16.9904, 4400
PG, Kyle Lowry, 39.7384, 8900
SG, Kevin Martin, 8.2536, 3900
SF, Marcus Morris, 22.384, 5200
PF, Patrick Patterson, 15.784, 3600
PF, Luis Scola, 21.428800000000003, 4400
C, Ian Mahinmi, 21.566399999999998, 5000
PF, Dirk Nowitzki, 27.121599999999997, 6900
SF, Jeremy Evans, 4.0656, 3500
PG, Devin Harris, 14.6128, 3600
SF, Gordon Hayward, 30.916800000000002, 7600
C, Enes Kanter, 23.127200000000002, 4800
SF, C.J. Miles, 20.216, 4400
C, Cole Aldrich, 8.7848, 4000
C, Nick Collison, 5.4504, 3500
SF, Kevin Durant, 42.3624, 9900
PF, Serge Ibaka, 28.559199999999997, 6500
PG, Reggie Jackson, 29.1936, 7200
C, Kendrick Perkins, 6.107200000000001, 3500
SG, Raymond Felton, 20.1896, 4800
SF, Wesley Matthews, 21.72, 5100
SF, Bojan Bogdanovic, 20.3864, 4400
SG, Wayne Ellington, 16.5544, 3800
PF, Kevin Love, 34.2608, 7400
SF, Chandler Parsons, 21.5584, 5100
PG, Ricky Rubio, 32.2432, 7600
PF, Anthony Tolliver, 12.3216, 3600
SF, Derrick Williams, 13.502399999999998, 3800
SG, Arron Afflalo, 20.2352, 4600
PF, Kenneth Faried, 28.536, 6500
SF, Danilo Gallinari, 29.752, 7100
PG, Andre Miller, 10.7928, 3500
C, Timofey Mozgov, 13.7432, 3500
SG, Tyreke Evans, 32.4056, 7500
PG, Isaiah Thomas, 33.8504, 8100
C, Hassan Whiteside, 30.612000000000002, 7600
SF, Vince Carter, 1.5328, 3500
SF, Jared Dudley, 16.4808, 3900
PF, Channing Frye, 12.3536, 3500
C, Marcin Gortat, 29.5144, 7000
C, Robin Lopez, 21.8232, 4100
PF, Markieff Morris, 7.188, 4400
SF, Matt Barnes, 18.1168, 5000
PG, Steve Blake, 7.2, 3500
SF, Al-Farouq Aminu, 21.2864, 5100
SG, Randy Foye, 9.7768, 3500
SG, Eric Gordon, 22.4864, 4800
C, DeAndre Jordan, 34.4176, 7900
C, Chris Kaman, 1.0904, 3500
PG, Mo Williams, 6.5168, 4200
C, Louis Amundson, 2.1936, 3500
SG, Monta Ellis, 26.7216, 6000
PF, David Lee, 15.467199999999998, 4100
PG, Jeremy Lin, 29.827199999999998, 5300
PF, Andrea Bargnani, 9.722399999999999, 3500
PG, Jose Calderon, 18.1136, 4100
PF, Ed Davis, 16.273600000000002, 3800
SG, DeMar DeRozan, 33.7352, 8200
C, Amir Johnson, 19.799200000000003, 4400
SF, James Johnson, 16.5656, 3500
C, Jonas Valanciunas, 23.044800000000002, 5600
PF, Lavoy Allen, 13.648800000000001, 3600
PF, Spencer Hawes, 15.0904, 3800
PG, Jrue Holiday, 26.190399999999997, 5600
SG, Evan Turner, 28.181600000000003, 5700
C, Nikola Vucevic, 32.736799999999995, 7500
PF, Thaddeus Young, 29.8864, 7100
SF, Carmelo Anthony, 35.1232, 8600
PG, Toney Douglas, 3.888, 3500
SG, Iman Shumpert, 15.722399999999999, 4100
C, Brook Lopez, 35.2424, 8500
SG, Anthony Morrow, 9.312, 3600
PG, Deron Williams, 26.2936, 6200
PF, Kevin Garnett, 13.0744, 3500
SF, Jeff Green, 19.782400000000003, 4800
SF, Paul Pierce, 12.235199999999999, 3900
PF, Tobias Harris, 25.7936, 5900
PF, Ersan Ilyasova, 21.4952, 5200
SG, Brandon Jennings, 18.5408, 5500
PF, Jon Leuer, 19.8976, 4400
PG, Beno Udrih, 3.0944, 3500
SF, Paul George, 37.184799999999996, 8900
PG, George Hill, 25.82, 5600
SF, Lance Stephenson, 2.3024, 3500
PF, Jonas Jerebko, 6.0368, 3500
PG, Brandon Knight, 32.708, 6700
SF, Kyle Singler, 4.9392, 3500
PG, Rodney Stuckey, 19.1704, 4500
PF, Charlie Villanueva, 3.3152, 3500
SF, Alonzo Gee, 5.8999999999999995, 3500
PG, Kyrie Irving, 26.3096, 7600
PG, Ramon Sessions, 20.6992, 4300
PF, Tristan Thompson, 24.142400000000002, 4700
C, Anderson Varejao, 5.8376, 3500
C, Omer Asik, 12.3528, 3500
SF, Luol Deng, 20.0224, 4400
PF, Trevor Booker, 18.7448, 4300
C, JaVale McGee, 11.704, 3500
C, Kevin Seraphin, 2.8671999999999995, 3500
PG, John Wall, 38.3368, 9900
PF, Ryan Anderson, 24.6984, 5700
PG, Jameer Nelson, 22.105600000000003, 5500
SG, J.J. Redick, 21.488, 5000
C, Joel Anthony, 2.2168, 3500
PF, Chris Bosh, 35.180800000000005, 7900
PG, Mario Chalmers, 17.2256, 4300
PG, Norris Cole, 22.677599999999998, 4400
PF, Udonis Haslem, 1.944, 3500
SF, LeBron James, 43.7352, 9700
SF, Mike Miller, 4.6096, 3500
SG, Dwyane Wade, 29.776799999999998, 7300
PG, D.J. Augustin, 7.475200000000001, 3500
C, Bismack Biyombo, 16.836, 4800
SF, Dante Cunningham, 2.8063999999999996, 3500
PF, Boris Diaw, 14.648, 4200
SG, Gerald Henderson, 10.5808, 3500
PG, Kemba Walker, 39.4632, 8700
SG, Joe Johnson, 20.840799999999998, 5200
C, Zaza Pachulia, 26.7024, 6600
PF, Josh Smith, 10.328000000000001, 3500
PF, Marvin Williams, 21.5368, 4700
PF, Nene Hilario, 9.6536, 4100
C, Tyson Chandler, 18.7944, 4000
PF, David West, 13.459999999999999, 3900
PG, Russell Westbrook, 46.592800000000004, 10700
SF, James Jones, 1.8592, 3500
PF, Kris Humphries, 4.0600000000000005, 3500
SG, J.R. Smith, 17.9768, 4600
C, Alexis Ajinca, 8.941600000000001, 3500
PG, Patrick Mills, 16.3416, 3800
SG, Garrett Temple, 18.6152, 4200
SG, Jamal Crawford, 17.9192, 3800
SG, Sasha Vujacic, 2.5576, 3500
SF, Tayshaun Prince, 10.2488, 3500
PG, Ronnie Price, 11.122399999999999, 3600
SF, Wesley Johnson, 12.4536, 3700
PG, Sonny Weems, 1.7664, 3500
C, Amar'e Stoudemire, 9.674399999999999, 3500
PF, Lance Thomas, 14.436, 4000
SF, Gerald Green, 15.9736, 3800
SF, P.J. Tucker, 19.8608, 4300
PG, Donald Sloan, 12.8584, 3500
PF, Andrew Nicholson, 5.8064, 3600
SF, Will Barton, 31.7424, 7300
PG, Jared Cunningham, 6.596, 3500
PF, Mirza Teletovic, 15.553600000000001, 3900
PG, Brian Roberts, 5.1168, 3500
PG, Pablo Prigioni, 2.1488, 3500
SF, Maurice Harkless, 13.3704, 3600
PF, Kyle O'Quinn, 10.9688, 3800
SG, John Jenkins, 1.9744, 3500
SG, Jeremy Lamb, 23.04, 4500
SF, Jae Crowder, 27.1888, 6200
SF, Evan Fournier, 19.6664, 5000
SG, Dion Waiters, 14.5568, 4000
C, Tyler Zeller, 4.7384, 3500
C, Thomas Robinson, 7.2928, 3500
PF, Jared Sullinger, 20.936, 5600
PG, Austin Rivers, 13.5856, 4000
C, Andre Drummond, 38.0736, 9200
SF, Terrence Ross, 17.849600000000002, 3900
PF, Meyers Leonard, 16.670399999999997, 4000
PG, Damian Lillard, 35.336, 8800
PF, Anthony Davis, 43.684000000000005, 10200
C, Aron Baynes, 9.8888, 3700
SG, Victor Oladipo, 28.080800000000004, 5700
SF, Otto Porter, 24.112000000000002, 5900
C, Cody Zeller, 23.000799999999998, 4700
C, Alex Len, 15.437599999999998, 4300
SG, Kentavious Caldwell-Pope, 22.8496, 5900
PG, Trey Burke, 20.586399999999998, 4900
SG, C.J. McCollum, 29.8904, 8200
C, Steven Adams, 18.7448, 4200
C, Kelly Olynyk, 23.108800000000002, 4300
SG, Shabazz Muhammad, 15.6496, 3900
PG, Shane Larkin, 22.0424, 4300
PF, Gorgui Dieng, 23.0568, 5000
C, Mason Plumlee, 20.5384, 5000
SF, Solomon Hill, 2.6928, 3500
SG, Andre Roberson, 12.8056, 3500
SG, Archie Goodwin, 8.46, 3500
SG, Allen Crabbe, 19.2384, 4600
C, Jeff Withey, 24.5072, 4700
PG, Raul Neto, 10.6408, 3500
C, Joffrey Lauvergne, 5.3712, 3900
PG, Matthew Dellavedova, 18.541600000000003, 4400
C, Dewayne Dedmon, 2.6448, 3500
SF, Andrew Wiggins, 28.4968, 6600
SF, Aaron Gordon, 18.5592, 3600
PG, Marcus Smart, 18.4464, 4800
PF, Noah Vonleh, 10.516, 3500
PG, Zach LaVine, 18.9328, 4300
SF, T.J. Warren, 20.9968, 4300
PF, Adreian Payne, 2.34, 3500
C, Jusuf Nurkic, 11.214400000000001, 3900
SG, Gary Harris, 19.3552, 4300
SG, Rodney Hood, 22.451999999999998, 5600
PG, Shabazz Napier, 3.0968, 3500
SG, P.J. Hairston, 11.232000000000001, 3500
SF, Kyle Anderson, 6.6912, 3500
PF, Glenn Robinson III, 5.6, 3500
SG, Markel Brown, 1.8264, 3500
PF, Dwight Powell, 11.246400000000001, 3500
SF, Kostas Papanikolaou, 4.62, 3500
SF, Joe Ingles, 7.2984, 3500
SG, Elijah Millsap, 1.8008, 3500
PG, Langston Galloway, 14.2496, 3900
PG, Tyler Johnson, 17.452, 4000
PF, JaMychal Green, 9.4632, 3500
PG, Tim Frazier, 6.3896, 3500
C, Karl-Anthony Towns, 33.1112, 7500
PF, Kristaps Porzingis, 26.107999999999997, 6200
SG, Mario Hezonja, 8.2552, 3500
PG, Emmanuel Mudiay, 16.3488, 4900
SF, Stanley Johnson, 15.505600000000001, 3800
PF, Frank Kaminsky, 18.988799999999998, 4000
SF, Justise Winslow, 14.971200000000001, 3500
PF, Trey Lyles, 7.8736, 3500
SG, Devin Booker, 18.8264, 3600
PG, Cameron Payne, 14.1576, 3700
SF, Kelly Oubre, 9.2568, 3500
PG, Jerian Grant, 8.3568, 3500
PG, Tyus Jones, 3.0584000000000002, 3500
SG, Pat Connaughton, 1.912, 3500
SG, Joseph Young, 3.2648, 3500
PF, Nemanja Bjelica, 3.5679999999999996, 3500
C, Nikola Jokic, 18.188, 4500
C, Boban Marjanovic, 2.8088, 3500
SF, Jonathon Simmons, 8.619200000000001, 3600
SF, Jarell Eddie, 5.0687999999999995, 3500
