position, player, projection, salary
C, Matt Bonner, 2.2628000000000004, 3500
C, Tim Duncan, 25.907599999999995, 6000
SG, Manu Ginobili, 20.2968, 4600
SG, Danny Green, 14.589200000000002, 3800
SF, Richard Jefferson, 4.074, 3500
PG, Cory Joseph, 14.6132, 3700
SF, Kawhi Leonard, 35.767199999999995, 8500
PG, Chris Paul, 36.5136, 9000
PF, Jason Smith, 4.3884, 3500
SF, Tony Allen, 16.192, 3900
PF, Darrell Arthur, 9.1196, 3500
PG, Mike Conley, 30.594800000000003, 6500
C, Marc Gasol, 33.7, 7800
PF, Zach Randolph, 27.1224, 6500
SF, Chase Budinger, 9.3564, 3500
PG, Goran Dragic, 26.5972, 5800
PF, Jordan Hill, 18.6272, 4800
SG, Courtney Lee, 17.1772, 4400
PG, Kyle Lowry, 39.791199999999996, 8900
SG, Kevin Martin, 8.4648, 3900
SF, Marcus Morris, 22.262, 5200
PF, Patrick Patterson, 15.712, 3600
PF, Luis Scola, 21.4184, 4400
C, Ian Mahinmi, 21.4952, 5000
PF, Dirk Nowitzki, 27.0888, 6900
SF, Jeremy Evans, 4.030799999999999, 3500
PG, Devin Harris, 14.430399999999999, 3600
SF, Gordon Hayward, 31.0524, 7600
C, Enes Kanter, 23.0896, 4800
SF, C.J. Miles, 20.338, 4400
C, Cole Aldrich, 9.3264, 4000
C, Nick Collison, 5.3072, 3500
SF, Kevin Durant, 42.4732, 9900
PF, Serge Ibaka, 28.565599999999996, 6500
PG, Reggie Jackson, 29.1348, 7200
C, Kendrick Perkins, 6.0796, 3500
SG, Raymond Felton, 20.162799999999997, 4800
SF, Wesley Matthews, 21.71, 5100
SF, Bojan Bogdanovic, 20.5552, 4400
SG, Wayne Ellington, 16.5792, 3800
PF, Kevin Love, 33.9944, 7400
SF, Chandler Parsons, 21.601200000000002, 5100
PG, Ricky Rubio, 32.3276, 7600
PF, Anthony Tolliver, 12.3888, 3600
SF, Derrick Williams, 13.693200000000001, 3800
SG, Arron Afflalo, 20.3836, 4600
PF, Kenneth Faried, 28.598, 6500
SF, Danilo Gallinari, 29.736, 7100
PG, Andre Miller, 10.5204, 3500
C, Timofey Mozgov, 13.6276, 3500
SG, Tyreke Evans, 32.5008, 7500
PG, Isaiah Thomas, 33.8572, 8100
C, Hassan Whiteside, 30.766, 7600
SF, Vince Carter, 1.6404, 3500
