position, player, projection, salary
C, Matt Bonner, 2.2494, 3500
C, Tim Duncan, 25.859799999999996, 6000
SG, Manu Ginobili, 20.306399999999996, 4600
SG, Danny Green, 14.646600000000001, 3800
SF, Richard Jefferson, 4.177, 3500
PG, Cory Joseph, 14.548599999999999, 3700
SF, Kawhi Leonard, 35.6656, 8500
PG, Chris Paul, 36.5728, 9000
PF, Jason Smith, 4.5982, 3500
SF, Tony Allen, 16.215999999999998, 3900
PF, Darrell Arthur, 9.185799999999999, 3500
PG, Mike Conley, 30.5854, 6500
C, Marc Gasol, 33.65, 7800
PF, Zach Randolph, 27.205199999999998, 6500
SF, Chase Budinger, 9.412199999999999, 3500
PG, Goran Dragic, 26.580599999999997, 5800
PF, Jordan Hill, 18.645599999999998, 4800
SG, Courtney Lee, 17.270599999999998, 4400
PG, Kyle Lowry, 39.8176, 8900
SG, Kevin Martin, 8.5704, 3900
SF, Marcus Morris, 22.200999999999997, 5200
PF, Patrick Patterson, 15.675999999999998, 3600
PF, Luis Scola, 21.4132, 4400
C, Ian Mahinmi, 21.459600000000002, 5000
PF, Dirk Nowitzki, 27.0724, 6900
SF, Jeremy Evans, 4.0134, 3500
PG, Devin Harris, 14.339199999999998, 3600
SF, Gordon Hayward, 31.1202, 7600
C, Enes Kanter, 23.0708, 4800
SF, C.J. Miles, 20.399, 4400
C, Cole Aldrich, 9.597199999999999, 4000
C, Nick Collison, 5.235599999999999, 3500
SF, Kevin Durant, 42.5286, 9900
PF, Serge Ibaka, 28.5688, 6500
PG, Reggie Jackson, 29.1054, 7200
C, Kendrick Perkins, 6.0658, 3500
SG, Raymond Felton, 20.149399999999996, 4800
SF, Wesley Matthews, 21.705, 5100
SF, Bojan Bogdanovic, 20.639599999999998, 4400
SG, Wayne Ellington, 16.5916, 3800
PF, Kevin Love, 33.861200000000004, 7400
SF, Chandler Parsons, 21.6226, 5100
PG, Ricky Rubio, 32.3698, 7600
PF, Anthony Tolliver, 12.422399999999998, 3600
SF, Derrick Williams, 13.788599999999999, 3800
SG, Arron Afflalo, 20.4578, 4600
PF, Kenneth Faried, 28.628999999999998, 6500
SF, Danilo Gallinari, 29.728, 7100
PG, Andre Miller, 10.3842, 3500
C, Timofey Mozgov, 13.569799999999999, 3500
SG, Tyreke Evans, 32.548399999999994, 7500
PG, Isaiah Thomas, 33.8606, 8100
C, Hassan Whiteside, 30.843, 7600
SF, Vince Carter, 1.6942, 3500
SF, Jared Dudley, 16.2912, 3900
PF, Channing Frye, 12.3704, 3500
C, Marcin Gortat, 29.731599999999997, 7000
C, Robin Lopez, 22.1148, 4100
PF, Markieff Morris, 7.632, 4400
SF, Matt Barnes, 18.1702, 5000
PG, Steve Blake, 7.574999999999999, 3500
SF, Al-Farouq Aminu, 21.239599999999996, 5100
SG, Randy Foye, 9.860199999999999, 3500
SG, Eric Gordon, 22.289599999999997, 4800
C, DeAndre Jordan, 34.6414, 7900
C, Chris Kaman, 1.0705999999999998, 3500
PG, Mo Williams, 6.645199999999999, 4200
C, Louis Amundson, 2.4054, 3500
SG, Monta Ellis, 26.8224, 6000
PF, David Lee, 15.6808, 4100
PG, Jeremy Lin, 29.470799999999997, 5300
PF, Andrea Bargnani, 9.318599999999998, 3500
PG, Jose Calderon, 18.2354, 4100
PF, Ed Davis, 15.975399999999999, 3800
SG, DeMar DeRozan, 33.882799999999996, 8200
C, Amir Johnson, 19.8538, 4400
SF, James Johnson, 16.1384, 3500
C, Jonas Valanciunas, 23.0622, 5600
PF, Lavoy Allen, 13.7682, 3600
PF, Spencer Hawes, 15.070599999999999, 3800
PG, Jrue Holiday, 25.8706, 5600
SG, Evan Turner, 28.087400000000002, 5700
C, Nikola Vucevic, 32.4002, 7500
PF, Thaddeus Young, 30.139599999999994, 7100
SF, Carmelo Anthony, 35.4148, 8600
PG, Toney Douglas, 3.8069999999999995, 3500
SG, Iman Shumpert, 15.543599999999998, 4100
C, Brook Lopez, 35.7986, 8500
SG, Anthony Morrow, 9.543, 3600
PG, Deron Williams, 25.6804, 6200
PF, Kevin Garnett, 13.096599999999999, 3500
SF, Jeff Green, 19.9336, 4800
SF, Paul Pierce, 12.6078, 3900
PF, Tobias Harris, 25.630399999999998, 5900
PF, Ersan Ilyasova, 21.6728, 5200
SG, Brandon Jennings, 18.2312, 5500
PF, Jon Leuer, 19.836399999999998, 4400
PG, Beno Udrih, 3.4015999999999997, 3500
SF, Paul George, 37.322199999999995, 8900
PG, George Hill, 25.88, 5600
SF, Lance Stephenson, 2.5136, 3500
PF, Jonas Jerebko, 6.225199999999999, 3500
PG, Brandon Knight, 32.462, 6700
SF, Kyle Singler, 5.0388, 3500
PG, Rodney Stuckey, 19.0156, 4500
PF, Charlie Villanueva, 3.6277999999999997, 3500
SF, Alonzo Gee, 5.975, 3500
PG, Kyrie Irving, 26.179399999999998, 7600
PG, Ramon Sessions, 20.8288, 4300
PF, Tristan Thompson, 23.9486, 4700
C, Anderson Varejao, 5.8214, 3500
C, Omer Asik, 12.1992, 3500
SF, Luol Deng, 19.843599999999995, 4400
PF, Trevor Booker, 18.7622, 4300
C, JaVale McGee, 11.356, 3500
C, Kevin Seraphin, 3.0808, 3500
PG, John Wall, 38.75019999999999, 9900
PF, Ryan Anderson, 24.5826, 5700
PG, Jameer Nelson, 22.6984, 5500
SG, J.J. Redick, 20.957, 5000
