position, player, projection, salary
C, Matt Bonner, 1.834, 3500
C, Tim Duncan, 24.378, 6000
SG, Manu Ginobili, 20.604, 4600
SG, Danny Green, 16.426000000000002, 3800
SF, Richard Jefferson, 7.370000000000001, 3500
PG, Cory Joseph, 12.546000000000001, 3700
SF, Kawhi Leonard, 32.516000000000005, 8500
PG, Chris Paul, 38.408, 9000
PF, Jason Smith, 11.102, 3500
SF, Tony Allen, 16.96, 3900
PF, Darrell Arthur, 11.238000000000001, 3500
PG, Mike Conley, 30.294, 6500
C, Marc Gasol, 32.1, 7800
PF, Zach Randolph, 29.772000000000006, 6500
SF, Chase Budinger, 11.142, 3500
PG, Goran Dragic, 26.066, 5800
PF, Jordan Hill, 19.216, 4800
SG, Courtney Lee, 20.166000000000004, 4400
PG, Kyle Lowry, 40.635999999999996, 8900
SG, Kevin Martin, 11.844000000000001, 3900
SF, Marcus Morris, 20.31, 5200
PF, Patrick Patterson, 14.559999999999999, 3600
PF, Luis Scola, 21.252000000000002, 4400
C, Ian Mahinmi, 20.356, 5000
PF, Dirk Nowitzki, 26.564, 6900
SF, Jeremy Evans, 3.474, 3500
PG, Devin Harris, 11.512, 3600
SF, Gordon Hayward, 33.222, 7600
C, Enes Kanter, 22.488, 4800
SF, C.J. Miles, 22.29, 4400
C, Cole Aldrich, 17.991999999999997, 4000
C, Nick Collison, 3.016, 3500
SF, Kevin Durant, 44.245999999999995, 9900
PF, Serge Ibaka, 28.668, 6500
PG, Reggie Jackson, 28.194000000000003, 7200
C, Kendrick Perkins, 5.638000000000001, 3500
SG, Raymond Felton, 19.734, 4800
SF, Wesley Matthews, 21.55, 5100
SF, Bojan Bogdanovic, 23.256, 4400
SG, Wayne Ellington, 16.976000000000003, 3800
PF, Kevin Love, 29.732, 7400
SF, Chandler Parsons, 22.286, 5100
PG, Ricky Rubio, 33.678, 7600
PF, Anthony Tolliver, 13.464, 3600
SF, Derrick Williams, 16.746000000000002, 3800
SG, Arron Afflalo, 22.758000000000003, 4600
PF, Kenneth Faried, 29.590000000000003, 6500
SF, Danilo Gallinari, 29.48, 7100
PG, Andre Miller, 6.162, 3500
C, Timofey Mozgov, 11.777999999999999, 3500
SG, Tyreke Evans, 34.024, 7500
PG, Isaiah Thomas, 33.966, 8100
C, Hassan Whiteside, 33.230000000000004, 7600
SF, Vince Carter, 3.362, 3500
SF, Jared Dudley, 14.332, 3900
PF, Channing Frye, 12.544, 3500
C, Marcin Gortat, 31.976000000000003, 7000
C, Robin Lopez, 25.128000000000004, 4100
PF, Markieff Morris, 12.22, 4400
SF, Matt Barnes, 18.722, 5000
PG, Steve Blake, 11.45, 3500
SF, Al-Farouq Aminu, 20.756, 5100
SG, Randy Foye, 10.722000000000001, 3500
SG, Eric Gordon, 20.256, 4800
C, DeAndre Jordan, 36.95400000000001, 7900
C, Chris Kaman, 0.8660000000000001, 3500
PG, Mo Williams, 7.972, 4200
C, Louis Amundson, 4.594, 3500
SG, Monta Ellis, 27.864000000000004, 6000
PF, David Lee, 17.888, 4100
PG, Jeremy Lin, 25.788000000000004, 5300
PF, Andrea Bargnani, 5.146, 3500
PG, Jose Calderon, 19.494, 4100
PF, Ed Davis, 12.894000000000002, 3800
SG, DeMar DeRozan, 35.408, 8200
C, Amir Johnson, 20.418, 4400
SF, James Johnson, 11.724, 3500
C, Jonas Valanciunas, 23.242, 5600
PF, Lavoy Allen, 15.002, 3600
PF, Spencer Hawes, 14.866000000000001, 3800
PG, Jrue Holiday, 22.566, 5600
SG, Evan Turner, 27.114, 5700
C, Nikola Vucevic, 28.922, 7500
PF, Thaddeus Young, 32.756, 7100
SF, Carmelo Anthony, 38.428, 8600
PG, Toney Douglas, 2.97, 3500
SG, Iman Shumpert, 13.696, 4100
C, Brook Lopez, 41.546, 8500
SG, Anthony Morrow, 11.93, 3600
PG, Deron Williams, 19.344, 6200
PF, Kevin Garnett, 13.326, 3500
SF, Jeff Green, 21.496000000000002, 4800
SF, Paul Pierce, 16.458, 3900
