position, player, projection, salary
C, Matt Bonner, 2.1087, 3500
C, Tim Duncan, 25.3579, 6000
SG, Manu Ginobili, 20.4072, 4600
SG, Danny Green, 15.249300000000002, 3800
SF, Richard Jefferson, 5.2585, 3500
PG, Cory Joseph, 13.8703, 3700
SF, Kawhi Leonard, 34.5988, 8500
PG, Chris Paul, 37.1944, 9000
PF, Jason Smith, 6.8011, 3500
SF, Tony Allen, 16.468, 3900
PF, Darrell Arthur, 9.8809, 3500
PG, Mike Conley, 30.4867, 6500
C, Marc Gasol, 33.125, 7800
PF, Zach Randolph, 28.0746, 6500
SF, Chase Budinger, 9.9981, 3500
PG, Goran Dragic, 26.406299999999998, 5800
PF, Jordan Hill, 18.8388, 4800
SG, Courtney Lee, 18.2513, 4400
PG, Kyle Lowry, 40.0948, 8900
SG, Kevin Martin, 9.679200000000002, 3900
SF, Marcus Morris, 21.560499999999998, 5200
PF, Patrick Patterson, 15.298, 3600
PF, Luis Scola, 21.358600000000003, 4400
C, Ian Mahinmi, 21.0858, 5000
PF, Dirk Nowitzki, 26.900199999999998, 6900
SF, Jeremy Evans, 3.8306999999999998, 3500
PG, Devin Harris, 13.3816, 3600
SF, Gordon Hayward, 31.8321, 7600
C, Enes Kanter, 22.8734, 4800
SF, C.J. Miles, 21.0395, 4400
C, Cole Aldrich, 12.4406, 4000
C, Nick Collison, 4.4838, 3500
SF, Kevin Durant, 43.110299999999995, 9900
PF, Serge Ibaka, 28.602399999999996, 6500
PG, Reggie Jackson, 28.7967, 7200
C, Kendrick Perkins, 5.9209, 3500
SG, Raymond Felton, 20.0087, 4800
SF, Wesley Matthews, 21.6525, 5100
SF, Bojan Bogdanovic, 21.5258, 4400
SG, Wayne Ellington, 16.7218, 3800
PF, Kevin Love, 32.4626, 7400
SF, Chandler Parsons, 21.8473, 5100
PG, Ricky Rubio, 32.8129, 7600
PF, Anthony Tolliver, 12.7752, 3600
SF, Derrick Williams, 14.790299999999998, 3800
SG, Arron Afflalo, 21.2369, 4600
PF, Kenneth Faried, 28.954500000000003, 6500
SF, Danilo Gallinari, 29.644, 7100
PG, Andre Miller, 8.9541, 3500
C, Timofey Mozgov, 12.962899999999998, 3500
SG, Tyreke Evans, 33.0482, 7500
PG, Isaiah Thomas, 33.8963, 8100
C, Hassan Whiteside, 31.6515, 7600
SF, Vince Carter, 2.2591, 3500
SF, Jared Dudley, 15.6276, 3900
PF, Channing Frye, 12.4292, 3500
C, Marcin Gortat, 30.491799999999998, 7000
C, Robin Lopez, 23.135399999999997, 4100
PF, Markieff Morris, 9.186, 4400
SF, Matt Barnes, 18.3571, 5000
PG, Steve Blake, 8.8875, 3500
SF, Al-Farouq Aminu, 21.0758, 5100
SG, Randy Foye, 10.1521, 3500
SG, Eric Gordon, 21.6008, 4800
C, DeAndre Jordan, 35.4247, 7900
C, Chris Kaman, 1.0013, 3500
PG, Mo Williams, 7.0946, 4200
C, Louis Amundson, 3.1467, 3500
SG, Monta Ellis, 27.175199999999997, 6000
PF, David Lee, 16.4284, 4100
PG, Jeremy Lin, 28.2234, 5300
PF, Andrea Bargnani, 7.9052999999999995, 3500
PG, Jose Calderon, 18.6617, 4100
PF, Ed Davis, 14.931700000000001, 3800
SG, DeMar DeRozan, 34.3994, 8200
C, Amir Johnson, 20.044900000000002, 4400
SF, James Johnson, 14.6432, 3500
C, Jonas Valanciunas, 23.1231, 5600
PF, Lavoy Allen, 14.1861, 3600
PF, Spencer Hawes, 15.0013, 3800
PG, Jrue Holiday, 24.7513, 5600
SG, Evan Turner, 27.7577, 5700
C, Nikola Vucevic, 31.222099999999998, 7500
PF, Thaddeus Young, 31.025799999999997, 7100
