position, player, projection, salary
C, Matt Bonner, 1.7067, 3500
C, Tim Duncan, 23.923899999999996, 6000
SG, Manu Ginobili, 20.6952, 4600
SG, Danny Green, 16.9713, 3800
SF, Richard Jefferson, 8.348500000000001, 3500
PG, Cory Joseph, 11.932300000000001, 3700
SF, Kawhi Leonard, 31.5508, 8500
PG, Chris Paul, 38.9704, 9000
PF, Jason Smith, 13.0951, 3500
SF, Tony Allen, 17.188, 3900
PF, Darrell Arthur, 11.866900000000001, 3500
PG, Mike Conley, 30.2047, 6500
C, Marc Gasol, 31.625000000000004, 7800
PF, Zach Randolph, 30.558600000000002, 6500
SF, Chase Budinger, 11.672099999999999, 3500
PG, Goran Dragic, 25.908299999999997, 5800
PF, Jordan Hill, 19.3908, 4800
SG, Courtney Lee, 21.053300000000004, 4400
PG, Kyle Lowry, 40.8868, 8900
SG, Kevin Martin, 12.8472, 3900
SF, Marcus Morris, 19.7305, 5200
PF, Patrick Patterson, 14.218, 3600
PF, Luis Scola, 21.2026, 4400
C, Ian Mahinmi, 20.0178, 5000
PF, Dirk Nowitzki, 26.4082, 6900
SF, Jeremy Evans, 3.3087, 3500
PG, Devin Harris, 10.6456, 3600
SF, Gordon Hayward, 33.8661, 7600
C, Enes Kanter, 22.3094, 4800
SF, C.J. Miles, 22.8695, 4400
C, Cole Aldrich, 20.5646, 4000
C, Nick Collison, 2.3358, 3500
SF, Kevin Durant, 44.772299999999994, 9900
PF, Serge Ibaka, 28.6984, 6500
PG, Reggie Jackson, 27.9147, 7200
C, Kendrick Perkins, 5.5069, 3500
SG, Raymond Felton, 19.6067, 4800
SF, Wesley Matthews, 21.5025, 5100
SF, Bojan Bogdanovic, 24.0578, 4400
SG, Wayne Ellington, 17.0938, 3800
PF, Kevin Love, 28.4666, 7400
SF, Chandler Parsons, 22.4893, 5100
PG, Ricky Rubio, 34.0789, 7600
PF, Anthony Tolliver, 13.7832, 3600
SF, Derrick Williams, 17.6523, 3800
SG, Arron Afflalo, 23.4629, 4600
PF, Kenneth Faried, 29.8845, 6500
SF, Danilo Gallinari, 29.403999999999996, 7100
PG, Andre Miller, 4.8681, 3500
C, Timofey Mozgov, 11.2289, 3500
SG, Tyreke Evans, 34.4762, 7500
PG, Isaiah Thomas, 33.99829999999999, 8100
C, Hassan Whiteside, 33.961499999999994, 7600
SF, Vince Carter, 3.8731, 3500
SF, Jared Dudley, 13.731599999999998, 3900
PF, Channing Frye, 12.5972, 3500
C, Marcin Gortat, 32.6638, 7000
C, Robin Lopez, 26.0514, 4100
PF, Markieff Morris, 13.626, 4400
SF, Matt Barnes, 18.891099999999998, 5000
PG, Steve Blake, 12.6375, 3500
SF, Al-Farouq Aminu, 20.6078, 5100
SG, Randy Foye, 10.9861, 3500
SG, Eric Gordon, 19.6328, 4800
C, DeAndre Jordan, 37.6627, 7900
C, Chris Kaman, 0.8033, 3500
PG, Mo Williams, 8.3786, 4200
C, Louis Amundson, 5.2646999999999995, 3500
SG, Monta Ellis, 28.1832, 6000
PF, David Lee, 18.564400000000003, 4100
PG, Jeremy Lin, 24.6594, 5300
PF, Andrea Bargnani, 3.8673, 3500
PG, Jose Calderon, 19.879699999999996, 4100
PF, Ed Davis, 11.9497, 3800
SG, DeMar DeRozan, 35.8754, 8200
C, Amir Johnson, 20.5909, 4400
SF, James Johnson, 10.371200000000002, 3500
C, Jonas Valanciunas, 23.2971, 5600
PF, Lavoy Allen, 15.3801, 3600
PF, Spencer Hawes, 14.803300000000002, 3800
PG, Jrue Holiday, 21.5533, 5600
SG, Evan Turner, 26.8157, 5700
C, Nikola Vucevic, 27.8561, 7500
PF, Thaddeus Young, 33.5578, 7100
SF, Carmelo Anthony, 39.3514, 8600
PG, Toney Douglas, 2.7135000000000002, 3500
SG, Iman Shumpert, 13.1298, 4100
C, Brook Lopez, 43.3073, 8500
SG, Anthony Morrow, 12.661499999999998, 3600
PG, Deron Williams, 17.4022, 6200
PF, Kevin Garnett, 13.3963, 3500
SF, Jeff Green, 21.974800000000002, 4800
SF, Paul Pierce, 17.6379, 3900
PF, Tobias Harris, 23.427199999999996, 5900
PF, Ersan Ilyasova, 24.070400000000003, 5200
SG, Brandon Jennings, 14.051599999999999, 5500
PF, Jon Leuer, 19.010199999999998, 4400
PG, Beno Udrih, 7.5488, 3500
SF, Paul George, 39.1771, 8900
PG, George Hill, 26.69, 5600
SF, Lance Stephenson, 5.3648, 3500
PF, Jonas Jerebko, 8.7686, 3500
PG, Brandon Knight, 29.141000000000002, 6700
SF, Kyle Singler, 6.3834, 3500
PG, Rodney Stuckey, 16.9258, 4500
PF, Charlie Villanueva, 7.847900000000001, 3500
SF, Alonzo Gee, 6.9875, 3500
PG, Kyrie Irving, 24.421699999999998, 7600
PG, Ramon Sessions, 22.578400000000002, 4300
PF, Tristan Thompson, 21.3323, 4700
C, Anderson Varejao, 5.6027, 3500
C, Omer Asik, 10.125599999999999, 3500
SF, Luol Deng, 17.4298, 4400
PF, Trevor Booker, 18.9971, 4300
C, JaVale McGee, 6.6579999999999995, 3500
C, Kevin Seraphin, 5.9643999999999995, 3500
PG, John Wall, 44.3311, 9900
PF, Ryan Anderson, 23.0193, 5700
PG, Jameer Nelson, 30.7012, 5500
SG, J.J. Redick, 13.788499999999999, 5000
C, Joel Anthony, 2.9911, 3500
PF, Chris Bosh, 37.8691, 7900
PG, Mario Chalmers, 19.0787, 4300
PG, Norris Cole, 24.182699999999997, 4400
PF, Udonis Haslem, 4.075499999999999, 3500
SF, LeBron James, 36.0879, 9700
