position, player, projection, salary
C, Matt Bonner, 2.2226000000000004, 3500
C, Tim Duncan, 25.7642, 6000
SG, Manu Ginobili, 20.3256, 4600
SG, Danny Green, 14.761400000000002, 3800
SF, Richard Jefferson, 4.383, 3500
PG, Cory Joseph, 14.419400000000001, 3700
SF, Kawhi Leonard, 35.4624, 8500
PG, Chris Paul, 36.6912, 9000
PF, Jason Smith, 5.017799999999999, 3500
SF, Tony Allen, 16.264, 3900
PF, Darrell Arthur, 9.3182, 3500
PG, Mike Conley, 30.5666, 6500
C, Marc Gasol, 33.550000000000004, 7800
PF, Zach Randolph, 27.3708, 6500
SF, Chase Budinger, 9.523800000000001, 3500
PG, Goran Dragic, 26.547400000000003, 5800
PF, Jordan Hill, 18.6824, 4800
SG, Courtney Lee, 17.4574, 4400
PG, Kyle Lowry, 39.8704, 8900
SG, Kevin Martin, 8.781600000000001, 3900
SF, Marcus Morris, 22.079, 5200
PF, Patrick Patterson, 15.604, 3600
PF, Luis Scola, 21.4028, 4400
C, Ian Mahinmi, 21.388400000000004, 5000
PF, Dirk Nowitzki, 27.0396, 6900
SF, Jeremy Evans, 3.9786, 3500
PG, Devin Harris, 14.1568, 3600
SF, Gordon Hayward, 31.2558, 7600
C, Enes Kanter, 23.0332, 4800
SF, C.J. Miles, 20.521, 4400
C, Cole Aldrich, 10.1388, 4000
C, Nick Collison, 5.0924000000000005, 3500
SF, Kevin Durant, 42.6394, 9900
PF, Serge Ibaka, 28.5752, 6500
PG, Reggie Jackson, 29.046599999999998, 7200
C, Kendrick Perkins, 6.038200000000001, 3500
SG, Raymond Felton, 20.122600000000002, 4800
SF, Wesley Matthews, 21.695, 5100
SF, Bojan Bogdanovic, 20.8084, 4400
SG, Wayne Ellington, 16.6164, 3800
PF, Kevin Love, 33.5948, 7400
SF, Chandler Parsons, 21.665399999999998, 5100
PG, Ricky Rubio, 32.4542, 7600
PF, Anthony Tolliver, 12.4896, 3600
SF, Derrick Williams, 13.9794, 3800
SG, Arron Afflalo, 20.6062, 4600
PF, Kenneth Faried, 28.691000000000003, 6500
SF, Danilo Gallinari, 29.712, 7100
PG, Andre Miller, 10.111799999999999, 3500
C, Timofey Mozgov, 13.4542, 3500
SG, Tyreke Evans, 32.6436, 7500
PG, Isaiah Thomas, 33.8674, 8100
C, Hassan Whiteside, 30.997, 7600
SF, Vince Carter, 1.8018, 3500
SF, Jared Dudley, 16.1648, 3900
PF, Channing Frye, 12.3816, 3500
C, Marcin Gortat, 29.876399999999997, 7000
C, Robin Lopez, 22.3092, 4100
PF, Markieff Morris, 7.927999999999999, 4400
SF, Matt Barnes, 18.205800000000004, 5000
PG, Steve Blake, 7.825000000000001, 3500
SF, Al-Farouq Aminu, 21.2084, 5100
SG, Randy Foye, 9.9158, 3500
SG, Eric Gordon, 22.1584, 4800
C, DeAndre Jordan, 34.7906, 7900
C, Chris Kaman, 1.0574, 3500
PG, Mo Williams, 6.7307999999999995, 4200
C, Louis Amundson, 2.5465999999999998, 3500
SG, Monta Ellis, 26.8896, 6000
PF, David Lee, 15.8232, 4100
PG, Jeremy Lin, 29.2332, 5300
PF, Andrea Bargnani, 9.0494, 3500
PG, Jose Calderon, 18.3166, 4100
PF, Ed Davis, 15.776600000000002, 3800
SG, DeMar DeRozan, 33.9812, 8200
C, Amir Johnson, 19.8902, 4400
SF, James Johnson, 15.853600000000002, 3500
C, Jonas Valanciunas, 23.073800000000002, 5600
PF, Lavoy Allen, 13.847800000000001, 3600
PF, Spencer Hawes, 15.057400000000001, 3800
PG, Jrue Holiday, 25.6574, 5600
SG, Evan Turner, 28.024600000000003, 5700
C, Nikola Vucevic, 32.1758, 7500
PF, Thaddeus Young, 30.3084, 7100
SF, Carmelo Anthony, 35.6092, 8600
PG, Toney Douglas, 3.753, 3500
SG, Iman Shumpert, 15.424399999999999, 4100
C, Brook Lopez, 36.1694, 8500
SG, Anthony Morrow, 9.697, 3600
PG, Deron Williams, 25.271600000000003, 6200
PF, Kevin Garnett, 13.1114, 3500
SF, Jeff Green, 20.0344, 4800
SF, Paul Pierce, 12.856200000000001, 3900
PF, Tobias Harris, 25.5216, 5900
PF, Ersan Ilyasova, 21.7912, 5200
SG, Brandon Jennings, 18.0248, 5500
PF, Jon Leuer, 19.7956, 4400
PG, Beno Udrih, 3.6064, 3500
SF, Paul George, 37.4138, 8900
PG, George Hill, 25.919999999999998, 5600
SF, Lance Stephenson, 2.6544, 3500
PF, Jonas Jerebko, 6.3508000000000004, 3500
PG, Brandon Knight, 32.298, 6700
SF, Kyle Singler, 5.105200000000001, 3500
PG, Rodney Stuckey, 18.9124, 4500
PF, Charlie Villanueva, 3.8362, 3500
SF, Alonzo Gee, 6.025, 3500
PG, Kyrie Irving, 26.0926, 7600
PG, Ramon Sessions, 20.915200000000002, 4300
PF, Tristan Thompson, 23.8194, 4700
C, Anderson Varejao, 5.810600000000001, 3500
C, Omer Asik, 12.0968, 3500
SF, Luol Deng, 19.7244, 4400
PF, Trevor Booker, 18.7738, 4300
C, JaVale McGee, 11.124, 3500
C, Kevin Seraphin, 3.2232000000000003, 3500
PG, John Wall, 39.0258, 9900
PF, Ryan Anderson, 24.505399999999998, 5700
PG, Jameer Nelson, 23.093600000000002, 5500
SG, J.J. Redick, 20.603, 5000
C, Joel Anthony, 2.3058, 3500
PF, Chris Bosh, 35.4898, 7900
PG, Mario Chalmers, 17.4386, 4300
PG, Norris Cole, 22.8506, 4400
PF, Udonis Haslem, 2.189, 3500
SF, LeBron James, 42.8562, 9700
SF, Mike Miller, 4.642600000000001, 3500
SG, Dwyane Wade, 29.9158, 7300
PG, D.J. Augustin, 7.296200000000001, 3500
C, Bismack Biyombo, 16.991, 4800
SF, Dante Cunningham, 2.8284000000000002, 3500
PF, Boris Diaw, 15.438, 4200
SG, Gerald Henderson, 10.639800000000001, 3500
PG, Kemba Walker, 40.1492, 8700
SG, Joe Johnson, 20.5748, 5200
C, Zaza Pachulia, 27.4294, 6600
PF, Josh Smith, 10.143, 3500
PF, Marvin Williams, 21.2258, 4700
PF, Nene Hilario, 8.556600000000001, 4100
C, Tyson Chandler, 18.6814, 4000
PF, David West, 14.135000000000002, 3900
PG, Russell Westbrook, 47.0368, 10700
SF, James Jones, 2.5002, 3500
PF, Kris Humphries, 4.984999999999999, 3500
SG, J.R. Smith, 17.9908, 4600
C, Alexis Ajinca, 8.8346, 3500
PG, Patrick Mills, 14.4846, 3800
SG, Garrett Temple, 18.386200000000002, 4200
SG, Jamal Crawford, 17.8602, 3800
SG, Sasha Vujacic, 2.5056000000000003, 3500
SF, Tayshaun Prince, 10.4478, 3500
PG, Ronnie Price, 11.6994, 3600
SF, Wesley Johnson, 12.9816, 3700
PG, Sonny Weems, 2.0884, 3500
C, Amar'e Stoudemire, 9.586400000000001, 3500
PF, Lance Thomas, 14.091000000000001, 4000
SF, Gerald Green, 16.1016, 3800
SF, P.J. Tucker, 19.5698, 4300
PG, Donald Sloan, 12.715399999999999, 3500
PF, Andrew Nicholson, 6.8284, 3600
SF, Will Barton, 32.0444, 7300
PG, Jared Cunningham, 6.301, 3500
PF, Mirza Teletovic, 15.831600000000002, 3900
PG, Brian Roberts, 5.4558, 3500
PG, Pablo Prigioni, 2.8478000000000003, 3500
SF, Maurice Harkless, 13.8624, 3600
PF, Kyle O'Quinn, 11.017800000000001, 3800
SG, John Jenkins, 2.2614, 3500
SG, Jeremy Lamb, 22.865000000000002, 4500
SF, Jae Crowder, 27.5878, 6200
SF, Evan Fournier, 19.6134, 5000
SG, Dion Waiters, 14.4708, 4000
C, Tyler Zeller, 4.8704, 3500
C, Thomas Robinson, 7.111800000000001, 3500
PF, Jared Sullinger, 20.716, 5600
PG, Austin Rivers, 13.9736, 4000
C, Andre Drummond, 38.201600000000006, 9200
SF, Terrence Ross, 17.4576, 3900
PF, Meyers Leonard, 16.912399999999998, 4000
PG, Damian Lillard, 35.241, 8800
PF, Anthony Davis, 43.879000000000005, 10200
C, Aron Baynes, 10.1628, 3700
SG, Victor Oladipo, 27.5148, 5700
SF, Otto Porter, 24.747, 5900
C, Cody Zeller, 23.2848, 4700
C, Alex Len, 14.7856, 4300
SG, Kentavious Caldwell-Pope, 23.0826, 5900
PG, Trey Burke, 21.1334, 4900
SG, C.J. McCollum, 30.232400000000002, 8200
C, Steven Adams, 18.7738, 4200
C, Kelly Olynyk, 22.6078, 4300
SG, Shabazz Muhammad, 15.7576, 3900
PG, Shane Larkin, 20.969399999999997, 4300
PF, Gorgui Dieng, 22.845799999999997, 5000
C, Mason Plumlee, 20.1704, 5000
SF, Solomon Hill, 4.011800000000001, 3500
SG, Andre Roberson, 12.9186, 3500
SG, Archie Goodwin, 8.385, 3500
SG, Allen Crabbe, 19.4954, 4600
C, Jeff Withey, 25.188200000000002, 4700
PG, Raul Neto, 10.374800000000002, 3500
C, Joffrey Lauvergne, 6.8972, 3900
PG, Matthew Dellavedova, 18.434600000000003, 4400
C, Dewayne Dedmon, 3.0488, 3500
SF, Andrew Wiggins, 28.610799999999998, 6600
SF, Aaron Gordon, 18.3252, 3600
PG, Marcus Smart, 17.793400000000002, 4800
PF, Noah Vonleh, 10.821000000000002, 3500
PG, Zach LaVine, 17.9518, 4300
SF, T.J. Warren, 19.9858, 4300
PF, Adreian Payne, 2.915, 3500
C, Jusuf Nurkic, 10.5764, 3900
SG, Gary Harris, 19.7012, 4300
SG, Rodney Hood, 23.412, 5600
PG, Shabazz Napier, 3.8358, 3500
SG, P.J. Hairston, 10.591999999999999, 3500
SF, Kyle Anderson, 6.692200000000001, 3500
PF, Glenn Robinson III, 5.2250000000000005, 3500
SG, Markel Brown, 1.8234, 3500
PF, Dwight Powell, 11.343400000000003, 3500
SF, Kostas Papanikolaou, 4.845, 3500
SF, Joe Ingles, 7.3554, 3500
SG, Elijah Millsap, 2.3348, 3500
PG, Langston Galloway, 13.857600000000001, 3900
PG, Tyler Johnson, 17.537, 4000
PF, JaMychal Green, 9.6492, 3500
PG, Tim Frazier, 6.6975999999999996, 3500
C, Karl-Anthony Towns, 32.837199999999996, 7500
PF, Kristaps Porzingis, 26.198, 6200
SG, Mario Hezonja, 8.1012, 3500
PG, Emmanuel Mudiay, 16.297800000000002, 4900
SF, Stanley Johnson, 15.4936, 3800
PF, Frank Kaminsky, 19.012800000000002, 4000
SF, Justise Winslow, 14.7472, 3500
PF, Trey Lyles, 8.6266, 3500
SG, Devin Booker, 18.8234, 3600
PG, Cameron Payne, 14.605599999999999, 3700
SF, Kelly Oubre, 9.7958, 3500
PG, Jerian Grant, 8.270800000000001, 3500
PG, Tyus Jones, 3.6654, 3500
SG, Pat Connaughton, 1.797, 3500
SG, Joseph Young, 2.8938, 3500
PF, Nemanja Bjelica, 3.833, 3500
C, Nikola Jokic, 18.053000000000004, 4500
C, Boban Marjanovic, 4.4328, 3500
SF, Jonathon Simmons, 8.810200000000002, 3600
SF, Jarell Eddie, 4.4928, 3500
