name,projection,team,salary
P.J. Tucker SF,17.3,PHO,"$4,300"
Tony Allen SG,17.2,MEM,"$3,900"
Gerald Green SG,17.1,MIA,"$3,800"
Boban Marjanovic C,17.1,SA,"$3,500"
Wayne Ellington SG,17.1,BKN,"$3,800"
Wesley Johnson SF,17.1,LAC,"$3,700"
Nikola Jokic C,17.0,DEN,"$4,500"
Danny Green SG,17.0,SA,"$3,800"
Austin Rivers PG,17.0,LAC,"$4,000"
Rodney Stuckey SG,16.9,IND,"$4,500"
Shabazz Muhammad SF,16.6,MIN,"$3,900"
Garrett Temple SG,16.6,WAS,"$4,200"
Aaron Gordon PF,16.5,ORL,"$3,600"
Ronnie Price PG,16.2,PHO,"$3,600"
DeMarre Carroll SF,16.0,TOR,"$5,400"
Emmanuel Mudiay PG,15.9,DEN,"$4,900"
Lavoy Allen PF,15.4,IND,"$3,600"
Stanley Johnson SF,15.4,DET,"$3,800"
Andrew Nicholson PF,14.8,ORL,"$3,600"
Spencer Hawes C,14.8,CHA,"$3,800"
Trey Lyles PF,14.5,UTA,"$3,500"
Terrence Ross SG,14.4,TOR,"$3,900"
Solomon Hill SG,14.3,IND,"$3,500"
Patrick Patterson PF,14.2,TOR,"$3,600"
Gary Neal SG,14.1,WAS,"$3,800"
Brandon Jennings PG,14.0,DET,"$5,500"
Kelly Oubre SF,14.0,WAS,"$3,500"
Anthony Tolliver PF,13.8,DET,"$3,600"
Andre Roberson SG,13.8,OKC,"$3,500"
Dion Waiters SG,13.8,OKC,"$4,000"
J.J. Redick SG,13.7,LAC,"$5,000"
Markieff Morris PF,13.7,PHO,"$4,400"
Jared Dudley SF,13.7,WAS,"$3,900"
Kevin Garnett PF,13.4,MIN,"$3,500"
Josh McRoberts PF,13.4,MIA,"$3,500"
Noah Vonleh PF,13.2,POR,"$3,500"
Jason Smith PF,13.2,ORL,"$3,500"
Iman Shumpert SG,13.1,CLE,"$4,100"
Justise Winslow SF,13.0,MIA,"$3,500"
Kevin Martin SG,12.9,MIN,"$3,900"
Anthony Morrow SG,12.7,OKC,"$3,600"
Steve Blake PG,12.7,DET,"$3,500"
Marcus Smart PG,12.7,BOS,"$4,800"
Shane Larkin PG,12.6,BKN,"$4,300"
Channing Frye PF,12.6,ORL,"$3,500"
Aron Baynes C,12.3,DET,"$3,700"
Kris Humphries PF,12.2,WAS,"$3,500"
Dwight Powell PF,12.1,DAL,"$3,500"
T.J. Warren SF,12.1,PHO,"$4,300"
Tayshaun Prince SF,12.0,MIN,"$3,500"
Ed Davis PF,11.9,POR,"$3,800"
Cory Joseph PG,11.9,TOR,"$3,700"
Darrell Arthur PF,11.9,DEN,"$3,500"
Elfrid Payton PG,11.9,ORL,"$5,700"
Chase Budinger SF,11.7,IND,"$3,500"
Donald Sloan PG,11.6,BKN,"$3,500"
Kyle O'Quinn C,11.4,NY,"$3,800"
Lance Thomas SF,11.4,NY,"$4,000"
J.J. Hickson PF,11.3,DEN,"$4,000"
Timofey Mozgov C,11.2,CLE,"$3,500"
JaMychal Green PF,11.1,MEM,"$3,500"
Gerald Henderson SG,11.1,POR,"$3,500"
Randy Foye SG,11.0,DEN,"$3,500"
Myles Turner PF,10.9,IND,"$3,500"
Langston Galloway SG,10.8,NY,"$3,900"
Devin Harris SG,10.6,DAL,"$3,600"
Zach LaVine SG,10.3,MIN,"$4,300"
James Johnson SF,10.3,TOR,"$3,500"
Jonathon Simmons SG,10.3,SA,"$3,600"
Willie Reed PF,10.1,BKN,"$3,500"
Omer Asik C,10.1,NO,"$3,500"
Alex Len C,9.7,PHO,"$4,300"
Shabazz Napier PG,9.6,ORL,"$3,500"
Chris Johnson SG,9.4,UTA,"$3,500"
Tim Frazier PG,9.1,POR,"$3,500"
Amar'e Stoudemire PF,8.9,MIA,"$3,500"
Jonas Jerebko PF,8.8,BOS,"$3,500"
Josh Smith PF,8.7,LAC,"$3,500"
Mo Williams PG,8.4,CLE,"$4,200"
Richard Jefferson SF,8.4,CLE,"$3,500"
Tyus Jones PG,8.4,MIN,"$3,500"
Raul Neto PG,8.3,UTA,"$3,500"
Pablo Prigioni PG,8.3,LAC,"$3,500"
Brian Roberts PG,8.1,CHA,"$3,500"
Alexis Ajinca C,8.0,NO,"$3,500"
Charlie Villanueva PF,7.9,DAL,"$3,500"
Joe Ingles SF,7.8,UTA,"$3,500"
Archie Goodwin PG,7.8,PHO,"$3,500"
Jerian Grant PG,7.6,NY,"$3,500"
Beno Udrih PG,7.6,MIA,"$3,500"
James Jones SF,7.5,CLE,"$3,500"
Adreian Payne PF,7.4,MIN,"$3,500"
Alonzo Gee SF,7.0,NO,"$3,500"
Rudy Gobert C,6.9,UTA,"$7,100"
Mario Hezonja SF,6.9,ORL,"$3,500"
Ray McCallum PG,6.8,SA,"$3,500"
Kyle Anderson SF,6.7,SA,"$3,500"
Kostas Papanikolaou SF,6.6,DEN,"$3,500"
JaVale McGee C,6.6,DAL,"$3,500"
Elijah Millsap SF,6.5,UTA,"$3,500"
Kyle Singler SF,6.4,OKC,"$3,500"
Dewayne Dedmon C,6.2,ORL,"$3,500"
Kevin Seraphin PF,6.0,NY,"$3,500"
Nemanja Bjelica SF,5.9,MIN,"$3,500"
Tyler Hansbrough PF,5.9,CHA,"$3,500"
Tyler Zeller C,5.9,BOS,"$3,500"
D.J. Augustin PG,5.9,OKC,"$3,500"
Thomas Robinson PF,5.7,BKN,"$3,500"
P.J. Hairston SF,5.6,CHA,"$3,500"
Anderson Varejao C,5.6,CLE,"$3,500"
Jusuf Nurkic C,5.6,DEN,"$3,900"
Kendrick Perkins C,5.5,NO,"$3,500"
